dist_name,performance_tier,final_z_standardized,component_rank_spread,assist_status
Carlsbad Unified (San Diego),Moderate Overperformer,1.1032666887687208,224.0,Differentiated
Carmel Unified (Monterey),Moderate Overperformer,0.5095931418316492,332.0,General
Carpinteria Unified (Santa Barbara),Expected Performer,-0.053929006708795364,254.0,Differentiated
Caruthers Unified (Fresno),Moderate Overperformer,1.1842811317949955,209.0,Differentiated
Cascade Union Elementary (Shasta),Expected Performer,0.19645631394428253,263.0,Differentiated
Castaic Union (Los Angeles),Moderate Overperformer,0.5798223485584043,186.0,General
Castle Rock Union Elementary (Shasta),Moderate Underperformer,-1.1151602333396917,85.0,General
Castro Valley Unified (Alameda),Moderate Overperformer,0.6680358177669443,196.0,Differentiated
Cayucos Elementary (San Luis Obispo),Expected Performer,0.3945299411760237,327.0,General
Center Joint Unified (Sacramento),Moderate Underperformer,-0.7273760617357516,122.0,Differentiated
Centinela Valley Union High (Los Angeles),Expected Performer,-0.13244382133225666,552.0,Differentiated
Central Elementary (San Bernardino),Expected Performer,0.13746081624197842,252.0,Differentiated
Central Unified (Fresno),Expected Performer,0.3333764063669143,141.0,Differentiated
Central Union Elementary (Kings),Moderate Overperformer,1.465274737595789,131.0,Differentiated
Central Union High (Imperial),Moderate Overperformer,0.5120509558672398,529.0,Differentiated
Centralia Elementary (Orange),Significant Overperformer,1.8749896977668241,148.0,General
Ceres Unified (Stanislaus),Expected Performer,-0.09782788710485943,242.0,Differentiated
Chaffey Joint Union High (San Bernardino),Moderate Overperformer,1.3276128924946737,410.0,Differentiated
Charter Oak Unified (Los Angeles),Moderate Overperformer,0.7390176540167017,123.0,Differentiated
Chatom Union (Stanislaus),Expected Performer,0.4448599133721826,376.0,Differentiated
Chawanakee Unified (Madera),Expected Performer,-0.17075774394962273,313.0,Differentiated
Chicago Park Elementary (Nevada),Expected Performer,0.299498200261482,486.0,General
Chico Unified (Butte),Moderate Overperformer,0.5187457046166303,277.0,Differentiated
Chino Valley Unified (San Bernardino),Moderate Overperformer,1.2694578463980652,46.0,Differentiated
Chowchilla Elementary (Madera),Expected Performer,-0.4570372834928642,320.0,Differentiated
Chowchilla Union High (Madera),Expected Performer,-0.29174831231367604,639.0,Differentiated
Chualar Union (Monterey),Expected Performer,0.46478093520203145,509.0,General
Chula Vista Elementary (San Diego),Moderate Overperformer,0.7745022239414258,365.0,Differentiated
Claremont Unified (Los Angeles),Moderate Overperformer,1.0279190749340958,277.0,Differentiated
Clay Joint Elementary (Fresno),Significant Overperformer,2.4032865980246774,0.0,General
Clear Creek Elementary (Nevada),Moderate Overperformer,1.2353695013609494,114.0,General
Cloverdale Unified (Sonoma),Significant Underperformer,-1.5920306328232734,50.0,General
Clovis Unified (Fresno),Moderate Overperformer,1.3033861518847252,257.0,Differentiated
Coachella Valley Unified (Riverside),Moderate Underperformer,-0.8088104706843978,176.0,Differentiated
Coalinga-Huron Unified (Fresno),Significant Underperformer,-1.5135397404960593,135.0,Differentiated
Coast Unified (San Luis Obispo),Expected Performer,-0.3737456189287974,427.0,Differentiated
Cold Spring Elementary (Santa Barbara),Moderate Overperformer,0.6222393632614486,124.0,General
Colfax Elementary (Placer),Moderate Underperformer,-1.0036118823338698,427.0,General
College Elementary (Santa Barbara),Expected Performer,0.1428095787293348,431.0,Differentiated
Colton Joint Unified (San Bernardino),Moderate Underperformer,-0.8826393167797636,239.0,Differentiated
Columbia Elementary (Shasta),Expected Performer,-0.11470918339208706,371.0,Differentiated
Columbia Union (Tuolumne),Expected Performer,0.2877825808611716,107.0,Differentiated
Columbine Elementary (Tulare),Significant Overperformer,2.4027130294134325,14.0,General
Colusa Unified (Colusa),Expected Performer,-0.09692374874116473,355.0,General
Compton Unified (Los Angeles),Significant Overperformer,1.9684074073046591,124.0,General
Conejo Valley Unified (Ventura),Expected Performer,0.26104564980392003,205.0,Differentiated
Corcoran Joint Unified (Kings),Expected Performer,0.08734924039021114,159.0,Differentiated
Corning Union Elementary (Tehama),Moderate Underperformer,-0.5599257810501588,375.0,General
Corning Union High (Tehama),Expected Performer,-0.32408186770035713,456.0,Differentiated
Corona-Norco Unified (Riverside),Moderate Overperformer,0.6124112327348736,274.0,Differentiated
Coronado Unified (San Diego),Moderate Overperformer,0.6672217379291647,381.0,General
Cotati-Rohnert Park Unified (Sonoma),Moderate Underperformer,-0.8818226055293273,177.0,Differentiated
Cottonwood Union Elementary (Shasta),Expected Performer,0.2585811846649638,265.0,Differentiated
Covina-Valley Unified (Los Angeles),Moderate Overperformer,0.854485849933861,105.0,Differentiated
Cucamonga Elementary (San Bernardino),Moderate Underperformer,-0.7624081315580398,181.0,Differentiated
Cuddeback Union Elementary (Humboldt),Moderate Overperformer,0.9846766360385392,205.0,General
Culver City Unified (Los Angeles),Expected Performer,0.18388093115281043,605.0,Differentiated
Cupertino Union (Santa Clara),Moderate Overperformer,1.0097917175295894,383.0,General
Curtis Creek Elementary (Tuolumne),Expected Performer,-0.3765809023571591,451.0,Differentiated
Cutler-Orosi Joint Unified (Tulare),Significant Overperformer,1.6834487968211662,140.0,General
Cutten Elementary (Humboldt),Moderate Overperformer,0.7818364591094046,370.0,General
Cuyama Joint Unified (Santa Barbara),Moderate Underperformer,-1.2287887042982573,183.0,General
Cypress Elementary (Orange),Significant Overperformer,2.005501788322065,114.0,General
Davis Joint Unified (Yolo),Moderate Overperformer,1.0137955439491213,193.0,Differentiated
Dehesa Elementary (San Diego),Significant Underperformer,-2.1128559994049905,30.0,General
Del Mar Union Elementary (San Diego),Moderate Overperformer,1.0493042260750327,198.0,General
Del Norte County Unified (Del Norte),Expected Performer,-0.23445336596024913,179.0,Differentiated
Delano Joint Union High (Kern),Significant Overperformer,2.2832059354889176,245.0,General
Delano Union Elementary (Kern),Significant Overperformer,2.1931882735820567,113.0,General
Delhi Unified (Merced),Expected Performer,0.11241792734677652,442.0,Differentiated
Delphic Elementary (Siskiyou),Expected Performer,-0.1824994534075127,328.0,General
Denair Unified (Stanislaus),Expected Performer,-0.39562030732621634,321.0,Differentiated
Desert Sands Unified (Riverside),Moderate Underperformer,-1.162496662424957,245.0,Differentiated
Di Giorgio Elementary (Kern),Moderate Underperformer,-0.701070978940023,351.0,General
Dinuba Unified (Tulare),Significant Overperformer,1.5775551022069527,268.0,General
Dixon Unified (Solano),Moderate Underperformer,-1.0542475868031298,242.0,Differentiated
Dos Palos Oro Loma Joint Unified (Merced),Moderate Underperformer,-0.575841956054014,224.0,Differentiated
Douglas City Elementary (Trinity),Significant Overperformer,2.4032865980246774,0.0,General
Downey Unified (Los Angeles),Moderate Overperformer,1.2944351565833383,79.0,Differentiated
Dry Creek Joint Elementary (Placer),Expected Performer,-0.19630402765789326,258.0,General
Duarte Unified (Los Angeles),Expected Performer,0.3776036755971709,285.0,Differentiated
Dublin Unified (Alameda),Expected Performer,0.061431744103354974,301.0,Differentiated
Ducor Union Elementary (Tulare),Moderate Underperformer,-0.8574666028263851,125.0,Differentiated
Dunsmuir Elementary (Siskiyou),Moderate Underperformer,-1.3078032627726437,65.0,Differentiated
Dunsmuir Joint Union High (Siskiyou),Moderate Underperformer,-0.8456659409529563,636.0,General
Durham Unified (Butte),Expected Performer,-0.45374270325100147,320.0,Differentiated
Earlimart Elementary (Tulare),Moderate Underperformer,-0.5397052174300235,199.0,General
East Nicolaus Joint Union High (Sutter),Moderate Underperformer,-0.6376424637169046,511.0,General
East Side Union High (Santa Clara),Expected Performer,-0.4891265891976199,587.0,Differentiated
East Whittier City Elementary (Los Angeles),Moderate Overperformer,1.4546368651351995,210.0,Differentiated
Eastern Sierra Unified (Mono),Moderate Underperformer,-0.8317865566564427,497.0,General
Eastside Union Elementary (Los Angeles),Significant Underperformer,-1.8359953029786842,109.0,Differentiated
Edison Elementary (Kern),Moderate Underperformer,-1.0611557930452442,110.0,Differentiated
El Centro Elementary (Imperial),Moderate Overperformer,0.9617329176752134,137.0,Differentiated
El Dorado Union High (El Dorado),Expected Performer,0.04058612481871088,532.0,Differentiated
El Monte City (Los Angeles),Moderate Overperformer,1.4815172948967317,117.0,Differentiated
El Monte Union High (Los Angeles),Significant Overperformer,1.5709601510020665,288.0,Differentiated
El Nido Elementary (Merced),Moderate Overperformer,1.2369393224265253,202.0,General
El Rancho Unified (Los Angeles),Expected Performer,0.2548623874613787,317.0,Differentiated
El Segundo Unified (Los Angeles),Moderate Overperformer,0.5277068012678409,503.0,General
El Tejon Unified (Kern),Moderate Overperformer,1.0663125167083762,183.0,Differentiated
Elk Grove Unified (Sacramento),Moderate Overperformer,0.6910080838380684,167.0,Differentiated
Elk Hills Elementary (Kern),Expected Performer,0.45487776644931693,208.0,General
Elverta Joint Elementary (Sacramento),Moderate Underperformer,-0.5345735669615872,209.0,General
Emery Unified (Alameda),Expected Performer,-0.4568966919652597,192.0,General
Empire Union Elementary (Stanislaus),Expected Performer,-0.1636216094187607,244.0,Differentiated
Encinitas Union Elementary (San Diego),Moderate Overperformer,0.5456251308953873,336.0,General
Enterprise Elementary (Shasta),Moderate Overperformer,0.864615985555378,80.0,Differentiated
Escalon Unified (San Joaquin),Moderate Underperformer,-0.5084873328864784,262.0,Differentiated
Escondido Union (San Diego),Moderate Underperformer,-0.7497016633036524,353.0,Differentiated
Escondido Union High (San Diego),Expected Performer,-0.4164557343520672,603.0,General
Esparto Unified (Yolo),Moderate Underperformer,-1.2883470659473966,437.0,Differentiated
Etiwanda Elementary (San Bernardino),Moderate Overperformer,0.7416931419699253,228.0,Differentiated
Eureka City Schools (Humboldt),Expected Performer,0.2853021028953456,133.0,Differentiated
Eureka Union (Placer),Moderate Overperformer,0.7609692214944542,294.0,General
Evergreen Elementary (Santa Clara),Expected Performer,-0.26791878288610843,376.0,Differentiated
Evergreen Union (Tehama),Moderate Overperformer,1.1080317774435624,149.0,General
Exeter Unified (Tulare),Moderate Overperformer,0.8239064006624345,152.0,Differentiated
Fairfax Elementary (Kern),Expected Performer,-0.46837916636799254,80.0,Differentiated
Fairfield-Suisun Unified (Solano),Moderate Underperformer,-1.0219768964319644,68.0,Differentiated
Fall River Joint Unified (Shasta),Expected Performer,0.2997826859648452,102.0,Differentiated
Fallbrook Union Elementary (San Diego),Significant Overperformer,1.9420784782290528,102.0,Differentiated
Fallbrook Union High (San Diego),Moderate Overperformer,1.0603024713676321,551.0,Differentiated
Farmersville Unified (Tulare),Expected Performer,-0.09917486820210471,210.0,Differentiated
Ferndale Unified (Humboldt),Significant Overperformer,2.050676807121003,148.0,Differentiated
Fieldbrook Elementary (Humboldt),Moderate Underperformer,-0.5051811433826161,307.0,General
Fillmore Unified (Ventura),Moderate Underperformer,-1.0043681411185619,168.0,General
Firebaugh-Las Deltas Unified (Fresno),Expected Performer,0.23734736907026813,48.0,Differentiated
Flournoy Union Elementary (Tehama),Moderate Underperformer,-0.5086612619740492,437.0,General
Folsom-Cordova Unified (Sacramento),Expected Performer,0.4843541079281995,267.0,Differentiated
Fontana Unified (San Bernardino),Expected Performer,-0.41437902479693006,345.0,Differentiated
Foresthill Union Elementary (Placer),Moderate Underperformer,-0.6943760364173948,347.0,Differentiated
Fort Bragg Unified (Mendocino),Expected Performer,-0.4133976325505684,158.0,Differentiated
Fort Sage Unified (Lassen),Significant Underperformer,-1.788793844695234,107.0,Differentiated
Fortuna Elementary (Humboldt),Expected Performer,-0.004937130638247129,219.0,Differentiated
Fortuna Union High (Humboldt),Expected Performer,0.10868732831342866,422.0,Differentiated
Fountain Valley Elementary (Orange),Significant Overperformer,2.2740717673815456,58.0,Differentiated
Fowler Unified (Fresno),Moderate Overperformer,0.9128943482931063,152.0,General
Franklin Elementary (Sutter),Moderate Overperformer,1.1471650188061084,259.0,General
Franklin-McKinley Elementary (Santa Clara),Moderate Underperformer,-0.6908787383877087,291.0,Differentiated
Fremont Unified (Alameda),Moderate Overperformer,0.5334777713189409,224.0,Differentiated
Fremont Union High (Santa Clara),Moderate Overperformer,0.5430891108106429,468.0,Differentiated
Freshwater Elementary (Humboldt),Significant Overperformer,1.8478136339739468,170.0,General
Fresno Unified (Fresno),Moderate Overperformer,0.6063263056751841,351.0,Differentiated
Fruitvale Elementary (Kern),Moderate Overperformer,0.5099874932884023,128.0,General
Fullerton Elementary (Orange),Moderate Overperformer,0.8111199557417627,194.0,Differentiated
Fullerton Joint Union High (Orange),Moderate Overperformer,0.8733627144812975,304.0,Differentiated
Galt Joint Union Elementary (Sacramento),Moderate Overperformer,1.21557929140564,141.0,Differentiated
Galt Joint Union High (Sacramento),Moderate Overperformer,1.1963776873018588,498.0,General
Garden Grove Unified (Orange),Significant Overperformer,2.4032865980246774,84.0,General
Garfield Elementary (Humboldt),Significant Overperformer,1.8654043731043066,144.0,General
Garvey Elementary (Los Angeles),Significant Overperformer,2.4032865980246774,53.0,General
Gateway Unified (Shasta),Moderate Overperformer,0.5585223393718293,194.0,Differentiated
Gazelle Union Elementary (Siskiyou),Moderate Underperformer,-0.9911946183405737,280.0,General
General Shafter Elementary (Kern),Moderate Overperformer,0.9621608177857846,434.0,General
Gerber Union Elementary (Tehama),Moderate Underperformer,-1.2736746511696797,120.0,Differentiated
Geyserville Unified (Sonoma),Moderate Underperformer,-1.0516870195973604,486.0,General
Gilroy Unified (Santa Clara),Significant Underperformer,-1.635864965104868,307.0,Differentiated
Glendale Unified (Los Angeles),Moderate Overperformer,1.4557544407130514,271.0,Differentiated
Glendora Unified (Los Angeles),Moderate Overperformer,0.8117581484067314,316.0,Differentiated
Gold Oak Union Elementary (El Dorado),Significant Underperformer,-2.08877860056286,32.0,Differentiated
Gold Trail Union Elementary (El Dorado),Expected Performer,-0.446544785189149,193.0,General
Golden Feather Union Elementary (Butte),Expected Performer,-0.4125052470153299,500.0,General
Golden Plains Unified (Fresno),Expected Performer,-0.0053291424926393514,382.0,Differentiated
Golden Valley Unified (Madera),Expected Performer,-0.020027353603215493,313.0,Differentiated
Goleta Union Elementary (Santa Barbara),Moderate Overperformer,0.7736709841902589,321.0,General
Gonzales Unified (Monterey),Expected Performer,-0.29064651472471403,363.0,Differentiated
Gorman Joint (Los Angeles),Moderate Overperformer,0.9380702897039854,303.0,General
Grant Elementary (Shasta),Moderate Overperformer,1.3282160300667025,173.0,General
Grass Valley Elementary (Nevada),Expected Performer,-0.06259142873235529,471.0,General
Graves Elementary (Monterey),Moderate Underperformer,-1.0885900321119444,186.0,General
Greenfield Union (Kern),Expected Performer,0.29612257984556123,120.0,Differentiated
Greenfield Union Elementary (Monterey),Moderate Underperformer,-0.9929185343442667,265.0,Differentiated
Grenada Elementary (Siskiyou),Moderate Underperformer,-0.8117447905909879,586.0,General
Gridley Unified (Butte),Moderate Overperformer,1.458854685501079,152.0,Differentiated
Grossmont Union High (San Diego),Expected Performer,-0.17256705832824934,334.0,Differentiated
Guadalupe Union Elementary (Santa Barbara),Moderate Underperformer,-0.9961998667641881,160.0,Differentiated
Gustine Unified (Merced),Moderate Underperformer,-1.1171713149229738,113.0,General
Hacienda la Puente Unified (Los Angeles),Moderate Overperformer,0.6973847383766746,242.0,Differentiated
Hamilton Unified (Glenn),Expected Performer,-0.3490245304283962,382.0,Differentiated
