dist_name,performance_tier,final_z_standardized,component_rank_spread,assist_status
Sacramento City Unified (Sacramento),Expected Performer,-0.33165531298150713,215.0,Differentiated
Saddleback Valley Unified (Orange),Moderate Overperformer,0.7281453753256022,282.0,Differentiated
Saint Helena Unified (Napa),Moderate Underperformer,-0.8592897969982345,292.0,Differentiated
Salida Union Elementary (Stanislaus),Expected Performer,-0.012010596676875953,275.0,General
Salinas City Elementary (Monterey),Significant Underperformer,-1.6622715562853647,391.0,General
Salinas Union High (Monterey),Moderate Underperformer,-1.3339300757851509,260.0,Differentiated
San Antonio Union Elementary (Monterey),Moderate Underperformer,-1.2413650257154987,453.0,General
San Ardo Union Elementary (Monterey),Moderate Underperformer,-0.9760282146422182,701.0,Differentiated
San Benito High (San Benito),Moderate Underperformer,-1.2810742317790944,453.0,Differentiated
San Bernardino City Unified (San Bernardino),Expected Performer,-0.40080937520015286,123.0,Differentiated
San Bruno Park Elementary (San Mateo),Moderate Underperformer,-0.6883613647467764,183.0,Differentiated
San Carlos Elementary (San Mateo),Expected Performer,0.3382600547605685,272.0,Differentiated
San Diego Unified (San Diego),Moderate Overperformer,0.883004314549652,117.0,Differentiated
San Dieguito Union High (San Diego),Moderate Overperformer,0.7115606734587184,399.0,General
San Francisco Unified (San Francisco),Moderate Underperformer,-0.6040743506718895,186.0,Differentiated
San Gabriel Unified (Los Angeles),Significant Overperformer,1.9983411353206075,52.0,Differentiated
San Jacinto Unified (Riverside),Moderate Underperformer,-0.7695460983720477,268.0,Differentiated
San Jose Unified (Santa Clara),Moderate Underperformer,-0.9149456672076107,174.0,Differentiated
San Juan Unified (Sacramento),Moderate Underperformer,-0.8506535626322799,276.0,Differentiated
San Leandro Unified (Alameda),Moderate Underperformer,-0.9353016512157347,295.0,Differentiated
San Lorenzo Unified (Alameda),Moderate Underperformer,-1.2404770865149184,104.0,Differentiated
San Lorenzo Valley Unified (Santa Cruz),Expected Performer,-0.2144809446642193,439.0,Differentiated
San Lucas Union Elementary (Monterey),Moderate Underperformer,-0.7190299852011703,625.0,General
San Luis Coastal Unified (San Luis Obispo),Moderate Overperformer,1.4454899801325796,76.0,General
San Marcos Unified (San Diego),Expected Performer,0.0026831635192330924,340.0,Differentiated
San Marino Unified (Los Angeles),Significant Overperformer,1.9165095757347028,129.0,General
San Mateo Union High (San Mateo),Expected Performer,0.22068975685371417,543.0,Differentiated
San Mateo-Foster City (San Mateo),Moderate Underperformer,-0.7128946767839134,188.0,Differentiated
San Miguel Joint Union (San Luis Obispo),Expected Performer,0.23149831336225993,393.0,Differentiated
San Pasqual Union Elementary (San Diego),Moderate Underperformer,-0.6407731029345932,383.0,General
San Pasqual Valley Unified (Imperial),Expected Performer,-0.14730651354070248,462.0,Differentiated
San Rafael City Elementary (Marin),Moderate Underperformer,-0.5379029495374599,229.0,Differentiated
San Rafael City High (Marin),Expected Performer,-0.4191965171035722,502.0,Differentiated
San Ramon Valley Unified (Contra Costa),Expected Performer,0.05232476408136805,87.0,Differentiated
San Ysidro Elementary (San Diego),Expected Performer,-0.1782478056988046,282.0,Differentiated
Sanger Unified (Fresno),Moderate Overperformer,1.037871784065811,213.0,Differentiated
Santa Ana Unified (Orange),Expected Performer,-0.10669045914599533,291.0,Differentiated
Santa Barbara Unified (Santa Barbara),Expected Performer,0.3568646680708866,201.0,Differentiated
Santa Clara Elementary (Ventura),Moderate Underperformer,-1.0514522980466217,310.0,General
Santa Clara Unified (Santa Clara),Moderate Underperformer,-0.5765767857184824,278.0,Differentiated
Santa Cruz City Elementary (Santa Cruz),Expected Performer,0.15197993028185092,162.0,General
Santa Cruz City High (Santa Cruz),Expected Performer,-0.06760352378266848,329.0,Differentiated
Santa Maria Joint Union High (Santa Barbara),Moderate Underperformer,-0.868180892661663,469.0,Differentiated
Santa Maria-Bonita (Santa Barbara),Moderate Underperformer,-1.4208559567661287,173.0,Differentiated
Santa Monica-Malibu Unified (Los Angeles),Moderate Overperformer,1.0667336256790725,273.0,Differentiated
Santa Paula Unified (Ventura),Expected Performer,-0.46153781997280535,279.0,Differentiated
Santa Rita Union Elementary (Monterey),Significant Underperformer,-1.682353296242674,96.0,General
Santa Rosa Elementary (Sonoma),Moderate Underperformer,-1.0125459014126559,163.0,Differentiated
Santa Rosa High (Sonoma),Moderate Underperformer,-1.1057854343878426,189.0,Differentiated
Santa Ynez Valley Union High (Santa Barbara),Expected Performer,-0.05093269461072653,413.0,General
Santee (San Diego),Moderate Overperformer,0.6255392259850823,88.0,Differentiated
Saratoga Union Elementary (Santa Clara),Moderate Overperformer,0.5533951631590193,541.0,General
Saucelito Elementary (Tulare),Significant Underperformer,-1.5682658630796522,98.0,General
Saugus Union (Los Angeles),Moderate Overperformer,1.4926630382960042,175.0,General
Sausalito Marin City (Marin),Expected Performer,0.019594583557677226,490.0,Differentiated
Savanna Elementary (Orange),Significant Overperformer,1.750202593031688,239.0,General
Scotia Union Elementary (Humboldt),Significant Overperformer,2.4032865980246774,9.0,Differentiated
Scott Valley Unified (Siskiyou),Moderate Overperformer,0.8978298776899688,103.0,Differentiated
Scotts Valley Unified (Santa Cruz),Expected Performer,0.002855263977122058,503.0,General
Sebastopol Union Elementary (Sonoma),Expected Performer,-0.03877815730665897,468.0,General
Seeley Union Elementary (Imperial),Moderate Overperformer,0.6938246058381486,429.0,Differentiated
Selma Unified (Fresno),Moderate Overperformer,0.908331129992322,152.0,Differentiated
Semitropic Elementary (Kern),Expected Performer,-0.2362282661815453,549.0,General
Sequoia Union Elementary (Tulare),Expected Performer,-0.00575041665931331,739.0,General
Sequoia Union High (San Mateo),Expected Performer,-0.21442220248789773,521.0,Differentiated
Shaffer Union Elementary (Lassen),Moderate Underperformer,-0.6640562584683023,370.0,Differentiated
Shandon Joint Unified (San Luis Obispo),Moderate Underperformer,-0.5049746144376638,513.0,Differentiated
Shasta Union Elementary (Shasta),Expected Performer,-0.3713357104017684,447.0,General
Shasta Union High (Shasta),Moderate Overperformer,1.048572417042613,347.0,Differentiated
Shoreline Unified (Marin),Moderate Underperformer,-0.661113169357656,552.0,Differentiated
Sierra Sands Unified (Kern),Moderate Underperformer,-0.6674666588809715,71.0,Differentiated
Sierra Unified (Fresno),Expected Performer,-0.22874214566181852,162.0,Differentiated
Sierra-Plumas Joint Unified (Sierra),Expected Performer,-0.11367615083547357,388.0,Differentiated
Silver Valley Unified (San Bernardino),Moderate Overperformer,0.5072670551801808,197.0,General
Simi Valley Unified (Ventura),Moderate Underperformer,-0.7943829131266925,246.0,Differentiated
Siskiyou Union High (Siskiyou),Moderate Underperformer,-1.2536463406006972,513.0,General
Snelling-Merced Falls Union Elementary (Merced),Expected Performer,0.09771872145276586,364.0,General
Snowline Joint Unified (San Bernardino),Moderate Underperformer,-1.0422463678853104,75.0,Differentiated
Solana Beach Elementary (San Diego),Moderate Overperformer,1.1533629795116995,164.0,General
Soledad Unified (Monterey),Expected Performer,-0.4889759026982816,420.0,Differentiated
Solvang Elementary (Santa Barbara),Expected Performer,0.10664944784194111,369.0,Differentiated
Somis Union (Ventura),Moderate Overperformer,0.7455260488796867,477.0,General
Sonoma Valley Unified (Sonoma),Significant Underperformer,-1.8493011285294363,113.0,Differentiated
Sonora Elementary (Tuolumne),Expected Performer,0.23981207399714016,342.0,General
Sonora Union High (Tuolumne),Expected Performer,0.3242371029237993,533.0,Differentiated
Soquel Union Elementary (Santa Cruz),Expected Performer,-0.24191459745383154,450.0,General
Soulsbyville Elementary (Tuolumne),Expected Performer,0.31111271045050465,547.0,General
South Bay Union (San Diego),Expected Performer,-0.4568903905430735,115.0,Differentiated
South Bay Union Elementary (Humboldt),Expected Performer,0.08348930344026759,365.0,Differentiated
South Fork Union (Kern),Moderate Overperformer,0.8057066043401888,90.0,Differentiated
South Monterey County Joint Union High (Monterey),Expected Performer,-0.1771929284776837,685.0,Differentiated
South Pasadena Unified (Los Angeles),Significant Overperformer,2.3723035689615077,96.0,General
South San Francisco Unified (San Mateo),Moderate Underperformer,-0.625002694779235,164.0,Differentiated
South Whittier Elementary (Los Angeles),Expected Performer,0.22064830875257524,341.0,Differentiated
Southern Humboldt Joint Unified (Humboldt),Expected Performer,-0.20762614168257132,407.0,General
Southern Kern Unified (Kern),Moderate Underperformer,-1.3904608049951186,248.0,Differentiated
Southern Trinity Joint Unified (Trinity),Expected Performer,0.3214234569847948,306.0,General
Southside Elementary (San Benito),Moderate Underperformer,-0.6308891700294053,163.0,General
Spencer Valley Elementary (San Diego),Expected Performer,-0.12928406249743224,423.0,General
Spreckels Union Elementary (Monterey),Moderate Underperformer,-1.3174240851674497,213.0,General
Springville Union Elementary (Tulare),Moderate Underperformer,-1.0602056385868426,296.0,General
Standard Elementary (Kern),Moderate Underperformer,-0.8089840297322844,152.0,Differentiated
Stanislaus Union Elementary (Stanislaus),Expected Performer,-0.15606264797161448,228.0,Differentiated
Stockton Unified (San Joaquin),Moderate Underperformer,-0.685108978186361,111.0,Differentiated
Stone Corral Elementary (Tulare),Expected Performer,0.25759612779596275,583.0,Differentiated
Stony Creek Joint Unified (Glenn),Expected Performer,-0.44727639739486863,352.0,General
Strathmore Union Elementary (Tulare),Expected Performer,-0.09358438537104977,320.0,Differentiated
Sulphur Springs Union (Los Angeles),Moderate Overperformer,0.767720171861825,217.0,General
Summerville Elementary (Tuolumne),Expected Performer,-0.38879745242393376,411.0,Differentiated
Summerville Union High (Tuolumne),Moderate Overperformer,0.5568034809594516,653.0,General
Sundale Union Elementary (Tulare),Moderate Overperformer,1.0153003729150807,132.0,General
Sunnyside Union Elementary (Tulare),Moderate Underperformer,-1.3394791830740147,56.0,General
Sunnyvale (Santa Clara),Expected Performer,-0.3703611438849602,253.0,General
Sunol Glen Unified (Alameda),Significant Overperformer,1.5684641720331702,309.0,General
Surprise Valley Joint Unified (Modoc),Moderate Underperformer,-0.6966566393856383,319.0,General
Susanville Elementary (Lassen),Expected Performer,-0.02085415607956712,147.0,Differentiated
Sutter Union High (Sutter),Significant Underperformer,-1.6206592226851355,519.0,General
Sweetwater Union High (San Diego),Expected Performer,0.09264011673788689,409.0,Differentiated
Sylvan Union Elementary (Stanislaus),Expected Performer,-0.02924039694442709,279.0,Differentiated
Taft City (Kern),Expected Performer,0.18826604752881104,143.0,Differentiated
Taft Union High (Kern),Expected Performer,0.23715742319758637,701.0,Differentiated
Tahoe-Truckee Unified (Placer),Expected Performer,-0.0054679422543013915,351.0,Differentiated
Tamalpais Union High (Marin),Moderate Underperformer,-0.9394032318543437,326.0,Differentiated
Tehachapi Unified (Kern),Significant Underperformer,-1.5153112745833566,156.0,Differentiated
Temecula Valley Unified (Riverside),Moderate Overperformer,0.9049706607884449,195.0,Differentiated
Temple City Unified (Los Angeles),Significant Overperformer,2.4032865980246774,113.0,General
Templeton Unified (San Luis Obispo),Moderate Underperformer,-0.6560740879595186,515.0,Differentiated
Terra Bella Union Elementary (Tulare),Moderate Overperformer,0.8474797470459424,431.0,General
Thermalito Union Elementary (Butte),Expected Performer,0.3449594687553534,253.0,Differentiated
Three Rivers Union Elementary (Tulare),Moderate Underperformer,-0.7409967080570953,565.0,General
Tipton Elementary (Tulare),Moderate Overperformer,0.8950245534905641,224.0,Differentiated
Torrance Unified (Los Angeles),Moderate Overperformer,1.2286255001057775,255.0,General
Tracy Joint Unified (San Joaquin),Moderate Underperformer,-0.7346535067610352,243.0,Differentiated
Traver Joint Elementary (Tulare),Expected Performer,0.4316072601416539,302.0,Differentiated
Travis Unified (Solano),Moderate Underperformer,-1.14997984921622,261.0,Differentiated
Tres Pinos Union Elementary (San Benito),Significant Underperformer,-2.0224203446014104,0.0,General
Trinidad Union Elementary (Humboldt),Significant Overperformer,1.5855624490961744,109.0,Differentiated
Trinity Alps Unified (Trinity),Significant Overperformer,1.7295619494028351,203.0,Differentiated
Trona Joint Unified (San Bernardino),Moderate Underperformer,-0.670436729305305,688.0,General
Tulare City (Tulare),Expected Performer,-0.2464144805296981,261.0,Differentiated
Tulare Joint Union High (Tulare),Moderate Overperformer,0.5653640484906594,407.0,Differentiated
Tulelake Basin Joint Unified (Modoc),Moderate Underperformer,-0.8221771501238064,293.0,General
Turlock Unified (Stanislaus),Expected Performer,-0.1965735021141027,203.0,Differentiated
Tustin Unified (Orange),Moderate Overperformer,1.0297614164946731,75.0,Differentiated
Twain Harte (Tuolumne),Expected Performer,0.24245450659545617,246.0,General
Twin Hills Union Elementary (Sonoma),Moderate Underperformer,-1.0829571974981165,442.0,General
Twin Ridges Elementary (Nevada),Moderate Underperformer,-1.1589679072954464,41.0,Differentiated
Twin Rivers Unified (Sacramento),Expected Performer,-0.4249398317904799,159.0,Differentiated
Two Rock Union (Sonoma),Expected Performer,0.21997234992480952,441.0,General
Ukiah Unified (Mendocino),Moderate Underperformer,-0.8933288719787998,127.0,Differentiated
Union Elementary (Santa Clara),Expected Performer,0.3224561072912797,315.0,General
Union Hill Elementary (Nevada),Expected Performer,0.014199264162282016,216.0,Differentiated
Upland Unified (San Bernardino),Moderate Overperformer,0.9086047192121174,142.0,Differentiated
Upper Lake Unified (Lake),Significant Underperformer,-2.005547939958987,277.0,Differentiated
Vacaville Unified (Solano),Moderate Underperformer,-1.2610327737582274,236.0,Differentiated
Val Verde Unified (Riverside),Moderate Underperformer,-0.5609091006874041,456.0,Differentiated
Valle Lindo Elementary (Los Angeles),Moderate Overperformer,1.2897828809945595,92.0,Differentiated
Vallecito Union (Calaveras),Moderate Overperformer,1.3688879041417288,81.0,Differentiated
Vallecitos Elementary (San Diego),Moderate Overperformer,1.0500736040655858,355.0,Differentiated
Vallejo City Unified (Solano),Moderate Underperformer,-1.3022269832292288,137.0,Differentiated
Valley Center-Pauma Unified (San Diego),Significant Underperformer,-1.8026633499971703,76.0,Differentiated
Valley Home Joint Elementary (Stanislaus),Significant Underperformer,-1.630687139828634,139.0,Differentiated
Ventura Unified (Ventura),Expected Performer,-0.4697716562695247,136.0,Differentiated
Victor Elementary (San Bernardino),Moderate Underperformer,-1.1636228083540243,349.0,Differentiated
Victor Valley Union High (San Bernardino),Expected Performer,-0.4264469628982347,299.0,Differentiated
Vineland Elementary (Kern),Expected Performer,0.06371536290734389,373.0,Differentiated
Visalia Unified (Tulare),Expected Performer,0.4479250968583416,347.0,Differentiated
Vista del Mar Union (Santa Barbara),Moderate Underperformer,-0.7956134708287552,271.0,General
Vista Unified (San Diego),Expected Performer,0.0522579770477666,150.0,Differentiated
Walnut Creek Elementary (Contra Costa),Expected Performer,0.30578043619348283,577.0,Differentiated
Walnut Valley Unified (Los Angeles),Significant Overperformer,1.7241084756383673,337.0,Differentiated
Warner Unified (San Diego),Moderate Underperformer,-0.6468137360920525,329.0,Differentiated
Wasco Union Elementary (Kern),Expected Performer,0.2958327231196489,186.0,General
Wasco Union High (Kern),Moderate Overperformer,0.7680296659524389,347.0,Differentiated
Washington Colony Elementary (Fresno),Expected Performer,0.41930457731012344,501.0,Differentiated
Washington Unified (Fresno),Expected Performer,-0.25735923283229767,217.0,Differentiated
Washington Unified (Yolo),Expected Performer,-0.33128730375116816,104.0,Differentiated
Washington Union Elementary (Monterey),Moderate Underperformer,-1.323398263750835,131.0,General
Waterford Unified (Stanislaus),Expected Performer,0.2832789376733566,445.0,General
Waugh Elementary (Sonoma),Expected Performer,-0.02688667879915259,516.0,Differentiated
Waukena Joint Union Elementary (Tulare),Expected Performer,0.205767637459358,274.0,Differentiated
Weaver Union (Merced),Moderate Overperformer,0.6140442223831134,349.0,Differentiated
Weed Union Elementary (Siskiyou),Moderate Underperformer,-0.5264857875577315,666.0,Differentiated
West Contra Costa Unified (Contra Costa),Moderate Underperformer,-1.1973846713059293,130.0,Differentiated
West Covina Unified (Los Angeles),Expected Performer,0.23482273474083193,149.0,Differentiated
West Park Elementary (Fresno),Expected Performer,0.09364827845700084,390.0,General
West Side Union Elementary (Sonoma),Significant Overperformer,2.0492078263768767,0.0,General
West Sonoma County Union High (Sonoma),Expected Performer,0.2052452024052164,335.0,Differentiated
Western Placer Unified (Placer),Expected Performer,0.28371595182171266,303.0,Differentiated
Westminster (Orange),Significant Overperformer,2.1105249985105075,75.0,Differentiated
Westmorland Union Elementary (Imperial),Expected Performer,-0.019785355413855316,303.0,Differentiated
Westside Elementary (Fresno),Expected Performer,0.3357814626874534,563.0,General
Westside Union Elementary (Los Angeles),Moderate Underperformer,-1.2430995541794478,229.0,Differentiated
Westwood Unified (Lassen),Expected Performer,-0.12566007822905506,229.0,Differentiated
Wheatland (Yuba),Moderate Overperformer,1.3507621334497295,124.0,Differentiated
Wheatland Union High (Yuba),Moderate Overperformer,1.0862796042495018,672.0,Differentiated
Whitmore Union Elementary (Shasta),Significant Underperformer,-1.7055524631832328,24.0,General
Whittier City (Los Angeles),Moderate Overperformer,0.6632736074364332,216.0,Differentiated
Whittier Union High (Los Angeles),Moderate Overperformer,1.4016070623589711,308.0,Differentiated
William S. Hart Union High (Los Angeles),Moderate Overperformer,0.8462756693152417,446.0,Differentiated
Williams Unified (Colusa),Moderate Underperformer,-0.8819253864902145,377.0,Differentiated
Willits Unified (Mendocino),Significant Underperformer,-1.5530431374226459,51.0,Differentiated
Willow Creek Elementary (Siskiyou),Moderate Underperformer,-0.7591055598186683,143.0,Differentiated
Willows Unified (Glenn),Moderate Underperformer,-0.7004977509197285,313.0,General
Wilmar Union Elementary (Sonoma),Expected Performer,-0.16262364747651947,521.0,General
Wilsona Elementary (Los Angeles),Significant Underperformer,-2.1128559994049905,80.0,Differentiated
Windsor Unified (Sonoma),Moderate Underperformer,-0.7773074255202219,113.0,Differentiated
Winship-Robbins (Sutter),Expected Performer,-0.49598840580253917,473.0,General
Winters Joint Unified (Yolo),Moderate Underperformer,-1.2694460533287533,170.0,Differentiated
Winton (Merced),Moderate Overperformer,1.2036239658253591,98.0,General
Wiseburn Unified (Los Angeles),Expected Performer,0.14506772999640086,191.0,Differentiated
Woodlake Unified (Tulare),Expected Performer,0.4381033347284956,184.0,Differentiated
Woodland Joint Unified (Yolo),Moderate Underperformer,-0.6001717298262148,99.0,Differentiated
Woodside Elementary (San Mateo),Moderate Overperformer,0.9312882232461092,132.0,General
Woodville Union Elementary (Tulare),Expected Performer,0.4934739495169739,295.0,Differentiated
Wright Elementary (Sonoma),Expected Performer,0.011668914756176818,543.0,Differentiated
Yosemite Unified (Madera),Moderate Underperformer,-1.0118311277940386,264.0,Differentiated
Yreka Union Elementary (Siskiyou),Expected Performer,-0.060151541629800416,427.0,Differentiated
Yreka Union High (Siskiyou),Expected Performer,-0.018724263273204044,570.0,Differentiated
Yuba City Unified (Sutter),Expected Performer,-0.08135936628888882,159.0,Differentiated
Yucaipa-Calimesa Joint Unified (San Bernardino),Moderate Underperformer,-0.6518788581850569,90.0,Differentiated
