District Name,County Name (District),District Type (District),All Charter Schools (Y/N) (District),Grade Span (District),Zip (District),City (District),Census Day Enrollment (District),English Learners % (District),American Indian or Alaska Native % (District),Asian % (District),Black or African American % (District),Filipino % (District),Hispanic or Latino % (District),Native Hawaiian or Pac Islander % (District),Two or More Races % (District),None Reported % (District),White % (District),Free/Reduced Meals % (District),Fluent English Proficient (FEP) % (District),Ethnic Diversity Index (District),Cohort Graduates % (District),Cohort Grads by Socio. Econ. DisAdvtg % (District),Student/Teacher Ratio (District),1st Year Teachers (District),Experienced Teachers (District),Teacher Service Days (District),Teaching Days (District),Inexperienced Teachers (District),Avg Years Teaching (District),Suspension Rate (District),Chronic Absenteeism % (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Gen Fund Exp by Activity - 6000-6999 Enterprise Exp % (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Exp % (District),Gen Fund Exp by Activity - 1000-1999 Instruction Exp % (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Exp % (District),Gen Fund Exp by Activity - 7000-7999 General Administration Exp % (District),Gen Fund Exp by Activity - 2000-2999 Instruc-related Svcs Exp % (District),Gen Fund Exp by Activity - 8000-8999 Plant Services Exp % (District)
Contra Costa County Office of Education (Contra Costa),Contra Costa,County Office of Education (COE),No,K-12,94523,"""Pleasant Hill                 """,6048,16.9,0.1,4.9,9.2,3.2,54.9,0.2,3,13.2,11.2,54.1,30.67,41,89.3,85.8,19.1,27,247,184,180,74,9,4.8,14.9,0,7.94,N/A,1,0,36,17,23,18,5
Corcoran Joint Unified (Kings),Kings,Unified School District,No,K-12,93212,"""Corcoran                      """,3176,17.1,0.2,0.3,2.4,0.2,92,0,0.5,0.1,4.4,91.3,22.61,9,92.7,92.9,20.4,3,145,184,180,15,11,6.4,20.1,20.77,34.43,19767,0,2,55,9,7,14,12
Corning Union Elementary (Tehama),Tehama,Elementary School District,No,K-08,96021,"""Corning                       """,1976,43,0.7,0.6,0.1,0.1,76.3,0.1,1.8,0,20.4,90.2,9.72,24,N/A,N/A,21.2,15,58,183,180,37,10,3.6,11.3,19.04,25.06,17727,0,7,52,7,7,8,15
Corning Union High (Tehama),Tehama,High School District,No,09-12,96021,"""Corning                       """,1070,24.4,0.7,1.8,0.7,0.3,68.3,0.2,1.3,2.1,24.6,82.1,33.74,30,94.1,94.5,17.8,7,51,182,180,9,12,7.6,19.4,13.91,38.01,19880,0,3,48,9,8,5,24
Corona-Norco Unified (Riverside),Riverside,Unified School District,No,K-12,92860,"""Norco                         """,49487,13.3,0.3,14.1,5.3,2.9,52.8,0.4,2.5,1.5,20.1,71.2,18.86,49,95.9,95.8,22.9,87,2020,185,180,160,18,3.2,13.8,43,57.96,18974,0,1,63,10,4,10,12
Coronado Unified (San Diego),San Diego,Unified School District,No,K-12,92118,"""Coronado                      """,2763,3,0.1,1.3,2.1,1,27.1,0.2,7,5.1,56.1,16.3,12.12,40,96.9,94.2,18.1,8,150,186,180,14,14,3.2,11,62.98,73.65,19676,0,1,63,8,6,12,10
Cotati-Rohnert Park Unified (Sonoma),Sonoma,Unified School District,No,K-12,94928,"""Rohnert Park                  """,6798,17.1,0.7,3.8,2.7,0.8,45.5,0.7,6.6,1.9,37.3,47,16,47,89.9,88.1,21,28,289,185,180,44,12,3.8,19.9,27.91,41.31,18291,0,1,61,13,6,11,9
Cottonwood Union Elementary (Shasta),Shasta,Elementary School District,No,K-08,96022,"""Cottonwood                    """,1211,2.2,4.6,0.7,0.4,0.2,16.2,0.4,3.3,1.1,73.1,42,0.83,28,N/A,N/A,21.2,2,54,184,180,7,11,3.5,16.1,35.76,48.09,16243,0,4,57,13,8,9,9
Covina-Valley Unified (Los Angeles),Los Angeles,Unified School District,No,K-12,91723,"""Covina                        """,11055,9.7,0.2,8,2.6,2.7,79.4,0.2,1.5,0.6,5,72.9,16.82,23,97.2,97.6,22.5,16,463,184,180,44,16,2.5,16.7,39.01,53.35,20494,0,0,63,8,6,10,11
Cucamonga Elementary (San Bernardino),San Bernardino,Elementary School District,No,K-08,91730,"""Rancho Cucamonga              """,2360,10.6,0.1,3.3,16.9,1.6,66.8,0.7,3.6,0,7.1,76.5,8.6,36,N/A,N/A,17,10,116,182,180,24,15,3.6,23.6,19.92,31.9,27541,0,0,62,9,7,12,9
Cuddeback Union Elementary (Humboldt),Humboldt,Elementary School District,No,K-08,95528,"""Carlotta                      """,157,0.6,3.2,0,0,0,15.3,0,10.8,0,70.7,59.2,0.64,31,N/A,N/A,15.7,0,8,183,180,2,14,0,3,42.71,51.04,17976,0,0,63,9,8,7,12
Culver City Unified (Los Angeles),Los Angeles,Unified School District,No,K-12,90232,"""Culver City                   """,6595,9.4,0.1,10.3,10.2,1.3,37.5,0.2,13.5,1.9,25,30.6,21.83,62,97,97,19.2,17,293,184,180,51,13,1.1,10.5,53.54,65.25,19208,0,0,60,10,6,15,9
Cupertino Union (Santa Clara),Santa Clara,Elementary School District,No,K-08,94087,"""Sunnyvale                     """,13533,19.2,0.4,68.8,0.6,1.2,7.2,0.1,4.6,5,12,18.5,42.6,30,N/A,N/A,21,23,601,186,180,55,16,0.7,5.5,84.47,82.73,19567,0,0,64,7,6,12,9
Curtis Creek Elementary (Tuolumne),Tuolumne,Elementary School District,No,K-08,95370,"""Sonora                        """,410,2.7,1.5,0.7,1.5,1,16.1,0.5,3.2,1.2,74.4,51.7,0.49,27,N/A,N/A,20.5,1,17,N/A,N/A,3,12,11.8,25.8,29.6,33.2,20390,0,0,54,10,11,7,15
Cutler-Orosi Joint Unified (Tulare),Tulare,Unified School District,No,K-12,93647,"""Orosi                         """,3815,37.7,0.1,0.3,0.1,2.5,96,0.1,0,0,0.8,94.4,28.18,5,94.4,94.7,19.3,3,182,185,180,25,12,3.3,11.2,29.05,44.6,20512,0,1,38,14,4,10,21
Cutten Elementary (Humboldt),Humboldt,Elementary School District,No,K-06,95503,"""Eureka                        """,548,3.6,3.3,4.6,0.2,0,17.2,0.5,15.3,0,58.9,48,2.55,44,N/A,N/A,17.9,4,27,185,180,5,13,2.5,9.1,45.71,45.36,15630,0,0,64,5,5,9,8
Cuyama Joint Unified (Santa Barbara),Santa Barbara,Unified School District,No,K-12,91901,"""Cuyama                        """,269,9.3,0.7,0.4,0.4,0,60.6,0,5.2,0.4,32.3,66.9,25.65,36,77.8,82.1,18.1,5,199,184,180,7,11,0,23.3,11.9,32.14,23960,0,1,39,12,12,6,12
Cypress Elementary (Orange),Orange,Elementary School District,No,K-06,90630,"""Cypress                       """,3272,12.5,0.3,35.4,2.6,5.2,30.4,0.5,8.5,0,17,46.4,14.06,61,N/A,N/A,20.9,9,145,186,180,15,16,0.1,7.8,64.28,68.64,17963,0,0,68,5,7,8,10
Davis Joint Unified (Yolo),Yolo,Unified School District,No,K-12,95616,"""Davis                         """,8246,8,0.5,16.6,3.3,0.9,24.2,0.3,8.7,2.1,43.5,32,17.64,56,91.9,86.5,19.6,8,429,184,180,25,14,3.8,15,62.49,68.85,17563,0,2,57,10,9,12,9
Death Valley Unified (Inyo),Inyo,Unified School District,No,K-11,92384,"""Shoshone                      """,21,23.8,0,0,0,0,47.6,0,0,14.3,38.1,23.8,9.52,34,N/A,N/A,7,0,4,183,180,0,21,0,35.5,25,35,72256,0,0,35,25,12,14,13
Dehesa Elementary (San Diego),San Diego,Elementary School District,No,K-12,92019,"""El Cajon                      """,13578,1.5,0.5,4.3,1.6,1.1,30.6,0.3,7.9,1.7,51.9,35.3,4.72,46,89.1,88,26.5,6,536,185,181,13,14,0.1,2.6,23.83,33.85,17921,0,4,49,9,17,13,9
Del Mar Union Elementary (San Diego),San Diego,Elementary School District,No,K-06,92130,"""San Diego                     """,3497,13.6,0.1,36.4,0.8,1.3,10.3,0.1,7.8,2.5,40.6,10.3,24.02,51,N/A,N/A,17.9,5,189,185,180,9,18,0.5,6.7,83.06,81.97,23271,0,1,63,6,8,10,10
Del Norte County Office of Education (Del Norte),Del Norte,County Office of Education (COE),No,K-12,95531,"""Crescent City                 """,342,4.1,9.1,1.8,0.6,0,23.1,0,12.3,0,53.2,74.6,1.17,48,82.4,82,17.5,0,20,186,180,0,17,0.6,12.3,8.24,27.01,N/A,0,0,31,24,21,20,2
Del Norte County Unified (Del Norte),Del Norte,Unified School District,No,K-12,95531,"""Crescent City                 """,3661,5.3,13.8,3.2,0.4,0.2,24.9,0,9.6,0,47.8,68.6,4.15,53,91.9,89.8,18.8,18,160,N/A,N/A,41,10,5.8,24.1,21.79,33.16,23171,0,0,60,10,6,9,14
Delano Joint Union High (Kern),Kern,High School District,No,09-12,93215,"""Delano                        """,4004,21.3,0,0.6,0.4,7.3,90.1,0,0.3,0,1.2,89.4,48.45,11,97.2,97.3,21.7,6,168,183,180,17,14,1.7,19,29.26,62.54,21324,0,1,45,15,5,13,21
Delano Union Elementary (Kern),Kern,Elementary School District,No,K-08,93215,"""Delano                        """,6185,28.8,0.2,1,0.5,8.2,87.5,0.1,0.5,0.7,1.2,86.1,19.89,13,N/A,N/A,19.9,10,294,184,180,23,13,0.9,5.3,35.19,49.67,26322,0,2,54,11,6,9,14
Delhi Unified (Merced),Merced,Unified School District,No,K-12,95315,"""Delhi                         """,2276,34.1,0.4,2.8,0.1,0,92.4,0.1,0.5,0,3.7,90.3,36.29,9,100,100,17,8,110,185,180,24,13,4.2,13.6,28.74,35.55,25884,0,1,55,9,8,14,11
Delphic Elementary (Siskiyou),Siskiyou,Elementary School District,No,K-08,96064,"""Montague                      """,61,1.6,3.3,0,0,0,13.1,0,8.2,0,75.4,65.6,0,27,N/A,N/A,20.3,1,2,183,180,1,11,0,0,30.95,40.48,20148,0,0,65,4,8,15,6
Denair Unified (Stanislaus),Stanislaus,Unified School District,No,K-12,95316,"""Denair                        """,1301,18.1,0.6,0.2,0.5,0.5,57,0.2,3.1,1.9,36,69.3,12.61,37,95,93.8,17.6,2,64,183,180,15,13,2.8,21.7,17.16,32.99,17734,0,1,59,7,8,10,13
Desert Center Unified (Riverside),Riverside,Unified School District,No,K-08,92239,"""Desert Center                 """,29,13.8,0,0,0,3.4,44.8,0,6.9,0,44.8,69,0,43,N/A,N/A,9.7,0,3,185,180,0,11,8.8,40,42.86,42.86,117049,0,0,33,18,15,18,16
Desert Sands Unified (Riverside),Riverside,Unified School District,No,K-12,92253,"""La Quinta                     """,25615,18,0.3,2.2,1.3,0.7,76.4,0.1,2.1,2.2,14.6,77.4,17.85,24,93.6,93.2,22.4,162,961,184,180,204,14,3.4,28.5,27.34,41.07,22375,0,4,57,10,5,13,11
Di Giorgio Elementary (Kern),Kern,Elementary School District,No,K-08,93203,"""Arvin                         """,231,33.3,0,0,0.4,0,96.5,0,0,0,3,99.6,18.61,4,N/A,N/A,23.1,1,7,185,180,3,13,0,5,13.46,20.92,21327,0,0,54,8,6,8,22
Dinuba Unified (Tulare),Tulare,Unified School District,No,K-12,93618,"""Dinuba                        """,6244,27.6,0.7,0.9,0.3,0.5,92.8,0.1,0,0.1,4.5,79.2,22.85,8,96.5,96.3,22.1,9,269,185,181,18,15,2.2,19.2,31.46,50.41,19027,0,2,54,12,5,13,9
Dixon Unified (Solano),Solano,Unified School District,No,K-12,95620,"""Dixon                         """,3460,19,0.4,1.4,2.2,2.2,59.1,0.4,5.3,2.5,26.5,60.7,17.02,39,90.6,90,21.3,23,131,184,180,37,10,4.5,19.5,24.03,32.15,17557,0,1,58,8,13,9,10
Dos Palos Oro Loma Joint Unified (Merced),Merced,Unified School District,No,K-12,93620,"""Dos Palos                     """,2254,24.9,0.9,0.2,2.1,0.1,84.9,0,0.6,0.7,10.5,88.2,21.3,16,96.7,96.6,20.5,5,99,N/A,N/A,13,13,4.4,25.5,14.49,22.41,19634,0,1,53,12,8,7,15
Douglas City Elementary (Trinity),Trinity,Elementary School District,No,K-08,96024,"""Douglas City                  """,162,9.3,6.2,9.9,1.9,0,7.4,0,7.4,0,67.3,50.6,1.23,37,N/A,N/A,16,0,11,N/A,N/A,0,18,0,6,66.36,70,18851,0,7,54,5,4,15,11
Downey Unified (Los Angeles),Los Angeles,Unified School District,No,K-12,90241,"""Downey                        """,22462,12.9,0.1,1.7,2.7,0.7,88.6,0.2,0.8,0,5.2,78.4,17.97,13,96.6,96.7,22,15,969,185,180,52,17,3.1,20.4,41.5,55.27,19955,0,0,66,8,6,10,8
Dry Creek Joint Elementary (Placer),Placer,Elementary School District,No,K-08,95747,"""Roseville                     """,6801,17.2,0.3,13,3.8,2.2,23.6,0.8,11.8,0.6,43.8,47.5,10.37,57,N/A,N/A,20.9,15,300,185,180,26,18,2.7,14,45.32,54.25,14132,0,0,64,8,6,9,10
Duarte Unified (Los Angeles),Los Angeles,Unified School District,No,K-12,91010,"""Duarte                        """,7547,14.1,0.2,4.9,7.6,2.2,66.2,0.3,4.3,3.2,11.3,70.9,24.33,35,42.8,36.6,22.9,35,366,185,180,78,11,0.8,37.4,33.97,48.79,19147,0,1,60,11,10,8,9
Dublin Unified (Alameda),Alameda,Unified School District,No,K-12,94568,"""Dublin                        """,12808,5.7,0,63.5,2.9,4.3,9.6,0.2,7.1,0.1,12.3,15,32.54,40,96.9,93.7,23.6,15,550,185,180,30,14,1.4,9,74.93,78.47,16009,0,1,63,9,7,10,9
Ducor Union Elementary (Tulare),Tulare,Elementary School District,No,K-08,93218,"""Ducor                         """,136,50.7,0.7,0.7,0,0,93.4,0,0,0,5.1,77.2,10.29,7,N/A,N/A,15.1,0,8,N/A,N/A,1,4,0,16.4,17.28,23.46,24561,0,0,49,6,10,15,17
Dunham Elementary (Sonoma),Sonoma,Elementary School District,No,K-06,94952,"""Petaluma                      """,175,5.1,1.1,0,0,0,18.9,0,7.4,0,72.6,26.3,0.57,29,N/A,N/A,19.4,0,9,N/A,N/A,0,11,0,12.4,62.5,67.05,15305,0,0,64,6,9,12,6
Dunsmuir Elementary (Siskiyou),Siskiyou,Elementary School District,No,K-08,96025,"""Dunsmuir                      """,65,1.5,0,3.1,0,0,15.4,0,6.2,50.8,24.6,83.1,1.54,47,N/A,N/A,11.4,1,3,182,180,3,8,0,41.9,7.69,23.08,35236,0,0,45,3,11,11,27
Dunsmuir Joint Union High (Siskiyou),Siskiyou,High School District,No,09-12,96025,"""Dunsmuir                      """,61,1.6,6.6,6.6,3.3,0,23,0,11.5,1.6,47.5,72.1,1.64,54,69.6,65,6.7,0,10,185,180,0,15,6.2,52.4,13.33,20,51240,0,2,26,7,7,13,45
Durham Unified (Butte),Butte,Unified School District,No,K-12,95938,"""Durham                        """,1048,6,0.6,0.6,0.3,0,22.3,0,5.4,2.2,68.6,38.8,7.54,31,97.2,94.4,17.9,3,56,184,180,7,14,3.2,13.9,36.72,50.18,14273,0,1,53,11,8,9,10
Earlimart Elementary (Tulare),Tulare,Elementary School District,No,K-08,93219,"""Earlimart                     """,1383,59.2,0.1,0.1,0.2,1.9,96,0.1,0.1,0.9,0.7,80.5,11.86,4,N/A,N/A,16.9,5,73,185,180,8,12,7,16.9,11.27,26.35,25572,0,0,53,9,7,13,17
East Nicolaus Joint Union High (Sutter),Sutter,High School District,No,09-12,95659,"""Nicolaus                      """,308,2.9,0.3,1.3,1,0,31.5,1,4.5,3.9,56.5,26,12.99,39,94.5,90,17.8,2,13,183,180,7,8,6,16.6,7.14,50,18979,0,3,36,8,13,16,19
East Side Union High (Santa Clara),Santa Clara,High School District,No,K-12,95133,"""San Jose                      """,23350,22.9,0.2,31.7,1.5,5.4,54,0.5,2.4,0.1,4.1,51.8,44.15,44,78,73.8,21.5,55,1025,182,180,120,14,2.3,24.6,35.69,59.93,20779,0,1,54,17,5,12,8
East Whittier City Elementary (Los Angeles),Los Angeles,Elementary School District,No,K-08,90605,"""Whittier                      """,7524,8.3,0.3,1.9,0.9,1.1,84.4,0.1,1.7,1,8.6,64.7,8.39,16,N/A,N/A,20.3,27,338,186,180,45,17,2.9,11.4,50.82,59.89,19801,0,0,67,7,8,8,11
Eastern Sierra Unified (Mono),Mono,Unified School District,No,K-12,93517,"""Bridgeport                    """,348,12.1,6.9,0.3,0.9,0,38.8,0,1.1,1.1,50.9,45.1,12.07,42,91.3,92.9,11.7,4,23,183,180,10,10,2.2,24,28.49,52.84,40254,0,1,49,10,13,12,15
Eastside Union Elementary (Los Angeles),Los Angeles,Elementary School District,No,K-08,93535,"""Lancaster                     """,3032,19.2,0.4,0.5,22.5,0.6,68.2,0.3,3.4,0.4,3.8,86.7,8.64,33,N/A,N/A,20.6,14,98,189,189,51,11,11,39,14.93,22.53,23028,0,0,56,13,10,8,11
Edison Elementary (Kern),Kern,Elementary School District,No,K-08,93307,"""Bakersfield                   """,1106,25.5,0.5,0,2.6,0.2,88.4,0,1.7,0.4,6.1,87.3,10.22,13,N/A,N/A,18.7,13,43,185,180,18,9,1.4,12.5,18.92,28.21,21505,0,0,56,12,7,10,12
El Centro Elementary (Imperial),Imperial,Elementary School District,No,K-08,92243,"""El Centro                     """,5387,42.7,0,0.3,0.7,0.1,96,0,0.3,0.8,1.9,80.5,17.86,4,N/A,N/A,21,10,235,187,180,23,15,1.9,16.9,29.39,42.28,21578,0,0,58,8,6,8,19
El Dorado County Office of Education (El Dorado),El Dorado,County Office of Education (COE),No,K-12,95667,"""Placerville                   """,2405,3.1,0.7,3.1,1.2,0.8,14.8,0.1,6.7,2.9,69.7,24,5.11,31,71.3,63.4,16,19,125,183,180,42,9,1.9,11,36.3,50.17,N/A,0,0,36,11,16,32,3
El Dorado Union High (El Dorado),El Dorado,High School District,No,09-12,95667,"""Placerville                   """,6439,2.5,1,5.9,1,1.7,19.7,0.2,5.5,0.4,64.7,22.3,10.22,37,96.4,93.7,23,5,285,183,180,11,17,4.8,14.1,46.83,69.03,16109,0,2,53,14,6,10,10
El Monte City (Los Angeles),Los Angeles,Elementary School District,No,K-08,91731,"""El Monte                      """,6927,33.3,0.1,17.8,0.5,0.7,79.5,0.1,0.3,0,0.9,83.6,25.29,22,N/A,N/A,19.2,3,341,N/A,N/A,20,19,1.2,8.2,36.59,47.86,27341,0,0,63,11,5,11,10
El Monte Union High (Los Angeles),Los Angeles,High School District,No,09-12,91731,"""El Monte                      """,7295,19.8,0,20,0.3,0.6,77.8,0,0.3,0.1,0.8,90.4,51.79,23,88,87.7,20.3,6,353,185,180,12,18,3.2,19.7,30.13,58.32,25007,0,3,50,16,6,10,15
El Nido Elementary (Merced),Merced,Elementary School District,No,K-08,95317,"""El Nido                       """,156,49.4,0,1.3,0,0,88.5,0,0,0,10.3,94.9,21.79,13,N/A,N/A,17.3,2,7,184,180,2,9,0,4.9,35.92,44.66,24058,0,0,53,12,10,12,12
El Rancho Unified (Los Angeles),Los Angeles,Unified School District,No,K-12,90660,"""Pico Rivera                   """,6878,15.1,0.1,0.6,0.3,0.4,97.2,0,0.3,0,1.1,80.3,22.54,3,94.7,94.7,23,6,297,N/A,N/A,8,21,4.4,20.9,29.35,39.99,22837,1,1,51,9,7,11,19
El Segundo Unified (Los Angeles),Los Angeles,Unified School District,No,K-12,90245,"""El Segundo                    """,3472,1.6,0.1,8,3.5,1.6,25.2,0.3,17,0.1,44.3,11.8,10.43,56,97.5,98.6,21.9,13,136,184,180,24,12,1,8.7,70.21,76.98,16640,1,0,59,7,9,7,11
El Tejon Unified (Kern),Kern,Unified School District,No,K-12,93243,"""Lebec                         """,700,11.4,1.4,1.6,0.9,1.3,47.5,0.3,3.6,1.4,42.1,80.7,10.86,42,92.4,93.5,18,3,35,183,180,5,17,3.9,13.9,25.07,40.39,20658,0,5,48,14,9,6,14
Elk Grove Unified (Sacramento),Sacramento,Unified School District,No,K-12,95624,"""Elk Grove                     """,64358,16.6,0.3,30.5,9.9,5.6,27.7,1.9,9.4,0,14.6,58.5,19.19,68,89.6,87.5,20.3,229,2887,184,180,350,16,3.7,19.8,43.41,54.36,18202,0,0,63,11,5,10,10
Elk Hills Elementary (Kern),Kern,Elementary School District,No,K-08,93276,"""Tupman                        """,159,6.9,0,0,3.1,0,20.8,0,3.1,0,73,73,1.26,28,N/A,N/A,17.7,5,3,185,180,6,2,0,12.3,28.7,34.86,20735,0,0,54,10,9,11,14
Elverta Joint Elementary (Sacramento),Sacramento,Elementary School District,No,K-08,95626,"""Elverta                       """,218,17,0.5,5,0.5,0.5,49.5,0,3.7,0,40.4,66.1,14.68,43,N/A,N/A,17.9,1,9,185,182,3,9,0,18.7,17.65,30.15,18009,0,0,57,14,13,5,9
Emery Unified (Alameda),Alameda,Unified School District,No,K-12,94608,"""Emeryville                    """,590,14.2,0,8.5,39.5,1.2,25.6,0.8,10.8,2.7,10.8,68.3,15.59,60,95.7,95,14.7,3,37,185,180,4,12,5.2,26.2,23.26,38.72,32934,0,0,60,7,12,10,10
Empire Union Elementary (Stanislaus),Stanislaus,Elementary School District,No,K-08,95357,"""Modesto                       """,2803,25.5,0.1,4.5,3.7,0.8,69.8,1.3,3.7,0.1,16,84,10.24,33,N/A,N/A,21.7,5,120,186,180,13,12,4.1,23.6,24.1,37.57,19288,0,0,70,7,5,9,8
Encinitas Union Elementary (San Diego),San Diego,Elementary School District,No,K-06,92024,"""Encinitas                     """,4298,8.5,0.1,2.8,0.4,0.4,21.2,0,9.3,2.4,63.3,19.2,6,36,N/A,N/A,17.4,8,242,185,180,15,13,0.3,8.5,67.06,71.78,19974,0,0,65,7,6,9,11
Enterprise Elementary (Shasta),Shasta,Elementary School District,No,K-12,96002,"""Redding                       """,3670,4.9,2.5,8.1,2,0.4,21,0.2,8.6,4.4,52.7,70.2,4.11,47,86.8,92.9,21.1,12,163,185,180,15,13,4.4,13.1,38.46,48.49,17697,0,1,60,11,6,10,11
Escalon Unified (San Joaquin),San Joaquin,Unified School District,No,K-12,95320,"""Escalon                       """,3044,10.4,0.3,1,0.8,0.6,50.2,0.2,2,0.9,44.1,49.5,16.89,39,97.3,96.5,19.3,15,134,184,182,26,12,4.7,12.1,30.39,39.4,16119,0,0,65,7,5,10,10
Escondido Union (San Diego),San Diego,Elementary School District,No,K-08,92029,"""Escondido                     """,16848,28.7,0.2,2.7,1,2,70.7,0.1,5.3,0.3,17.9,70.8,11.91,31,N/A,N/A,19.3,12,850,187,180,38,15,2.2,19.8,29.69,36.63,19826,0,5,59,9,6,10,10
Escondido Union High (San Diego),San Diego,High School District,No,06-12,92027,"""Escondido                     """,8751,16.9,0.5,3.2,1.7,1.9,65.8,0.2,2.3,0.7,23.7,66.9,34.14,35,89,87,19.9,7,424,184,180,31,14,3.6,18.4,20.68,55.35,23884,0,2,49,11,7,18,13
Esparto Unified (Yolo),Yolo,Unified School District,No,K-12,95627,"""Esparto                       """,994,34.8,1,0.5,1.9,0.8,76.3,0,2.6,0,16.9,77.6,22.54,25,95.9,95.5,19.4,4,45,182,180,9,11,5.3,19.5,15.88,31.43,21458,0,0,48,12,10,13,13
Etiwanda Elementary (San Bernardino),San Bernardino,Elementary School District,No,K-08,91739,"""Etiwanda                      """,13676,8.7,0.2,19.4,7.8,3.6,43.3,0.2,5.9,3.2,16.3,28.7,13.67,58,N/A,N/A,22.2,193,440,185,180,194,14,1.2,9.9,60.6,69.29,16981,0,0,64,10,5,9,8
Eureka City Schools (Humboldt),Humboldt,Unified School District,No,K-12,95501,"""Eureka                        """,3614,15.5,3.9,9.6,1.8,0.4,28,1.7,12.9,0.1,41.6,62.3,7.3,58,94.9,94.6,18.3,18,158,186,180,47,11,7.1,25.6,23.65,37.16,20558,0,1,46,15,6,12,12
Eureka Union (Placer),Placer,Elementary School District,No,K-08,95746,"""Granite Bay                   """,3459,8.4,0.1,12.3,1.1,2.1,14,0.1,12.4,0.1,57.7,16,9.08,46,N/A,N/A,22.3,2,150,184,180,6,19,3.6,5.5,70.4,74.59,14015,0,0,60,11,8,7,13
Evergreen Elementary (Santa Clara),Santa Clara,Elementary School District,No,K-08,95148,"""San Jose                      """,8474,19.8,0.3,54.7,1.2,6.7,27.7,0.4,5,0.3,3.8,32.6,26.92,45,N/A,N/A,21.2,19,394,185,180,25,17,1.8,9.5,60.15,65.44,18184,0,0,66,6,6,10,8
Evergreen Union (Tehama),Tehama,Elementary School District,No,K-12,96022,"""Cottonwood                    """,1232,4.6,1.8,0.9,0.2,0.2,18.1,0.1,5.4,0,73.4,57,1.62,28,100,redacted,18.9,6,53,183,180,15,9,2.7,11.3,42.7,54.39,16564,0,3,57,10,6,10,12
Exeter Unified (Tulare),Tulare,Unified School District,No,K-12,93221,"""Exeter                        """,2597,15.1,0.5,0.5,0.4,0.3,70,0,0.4,0,27.8,75.1,11.98,29,98.2,98.1,20.8,13,107,187,180,22,12,4.5,15.1,34.58,49.06,19589,0,6,53,14,8,7,12
Fairfax Elementary (Kern),Kern,Elementary School District,No,K-08,93307,"""Bakersfield                   """,2667,32.6,0.1,1.2,1.6,0.1,91.9,0,0.9,0.8,3.3,97.8,12,8,N/A,N/A,22,12,102,186,180,20,11,3.9,7.7,21.56,32.01,19235,0,1,62,11,8,6,9
Fairfield-Suisun Unified (Solano),Solano,Unified School District,No,K-12,94534,"""Fairfield                     """,20359,15.3,0.3,6.5,12.5,9.2,47.8,0.9,10.1,0.2,12.5,65.3,17.88,57,90.2,88.4,21.9,164,674,184,180,265,10,4.1,25,28.69,41.44,15888,0,1,54,12,7,11,12
Fall River Joint Unified (Shasta),Shasta,Unified School District,No,K-12,96013,"""Burney                        """,1156,6.5,10.6,0.2,0.2,0.2,26.7,0.3,4.3,0.8,56.7,55.9,7.01,43,86,81.3,16.4,6,61,183,180,13,13,9.9,31.9,30.58,39.78,21551,0,1,55,12,8,11,13
Fallbrook Union Elementary (San Diego),San Diego,Elementary School District,No,K-08,92028,"""Fallbrook                     """,5042,24.3,0.1,0.6,2.5,0.9,65.5,0.3,5.4,0,24.7,73.8,11.05,35,N/A,N/A,22.2,3,224,183,180,7,14,1.2,16.6,45.22,56.88,21160,0,1,65,8,7,9,10
Fallbrook Union High (San Diego),San Diego,High School District,No,09-12,92028,"""Fallbrook                     """,1999,21.4,0.2,1,0.7,0.3,69.7,0.2,2.1,4.1,21.9,72.2,32.12,28,88.2,87.1,19.8,3,93,185,181,9,13,4.4,27,24.73,58.7,22723,0,2,52,10,8,8,18
Farmersville Unified (Tulare),Tulare,Unified School District,No,K-12,93223,"""Farmersville                  """,2346,32,0.4,0.6,0,0,95.8,0.1,0.2,0,2.9,91.3,24.21,5,98.6,98.6,20,0,100,N/A,N/A,20,12,6.9,17.7,15.02,28.65,20985,0,2,49,12,6,13,16
Ferndale Unified (Humboldt),Humboldt,Unified School District,No,K-12,95536,"""Ferndale                      """,483,3.9,3.5,0,0.2,0.4,19.9,0,3.7,0,72.3,46,8.07,29,100,100,15.1,3,28,184,180,5,11,3,11.9,54.58,51.2,20130,0,2,62,8,8,10,9
Fieldbrook Elementary (Humboldt),Humboldt,Elementary School District,No,K-08,95519,"""McKinleyville                 """,90,N/A,5.6,0,0,2.2,8.9,0,7.8,0,75.6,38.9,N/A,27,N/A,N/A,12.6,1,6,N/A,N/A,2,9,0,17.2,34.43,45.9,17922,0,0,48,8,6,15,20
Fillmore Unified (Ventura),Ventura,Unified School District,No,K-12,93015,"""Fillmore                      """,3686,20.6,0.2,0.3,0.4,0.7,92.3,0,0.8,0,5.3,73.1,28.76,9,97.5,97.9,19.9,13,172,187,180,19,14,2.9,20.1,18.24,34.39,21959,0,1,50,12,9,10,17
