District Name,County Name (District),District Type (District),All Charter Schools (Y/N) (District),Grade Span (District),Zip (District),City (District),Census Day Enrollment (District),English Learners % (District),American Indian or Alaska Native % (District),Asian % (District),Black or African American % (District),Filipino % (District),Hispanic or Latino % (District),Native Hawaiian or Pac Islander % (District),Two or More Races % (District),None Reported % (District),White % (District),Free/Reduced Meals % (District),Fluent English Proficient (FEP) % (District),Ethnic Diversity Index (District),Cohort Graduates % (District),Cohort Grads by Socio. Econ. DisAdvtg % (District),Student/Teacher Ratio (District),1st Year Teachers (District),Experienced Teachers (District),Teacher Service Days (District),Teaching Days (District),Inexperienced Teachers (District),Avg Years Teaching (District),Suspension Rate (District),Chronic Absenteeism % (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Gen Fund Exp by Activity - 6000-6999 Enterprise Exp % (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Exp % (District),Gen Fund Exp by Activity - 1000-1999 Instruction Exp % (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Exp % (District),Gen Fund Exp by Activity - 7000-7999 General Administration Exp % (District),Gen Fund Exp by Activity - 2000-2999 Instruc-related Svcs Exp % (District),Gen Fund Exp by Activity - 8000-8999 Plant Services Exp % (District)
Seeley Union Elementary (Imperial),Imperial,Elementary School District,No,K-08,92273,"""Seeley                        """,325,47.7,1.2,0,0.9,0.3,90.8,0.3,2.2,0,4.3,93.2,11.69,10,N/A,N/A,19.1,0,16,N/A,N/A,1,13,0,11.2,23.64,31.36,26691,0,0,50,12,10,7,18
Seiad Elementary (Siskiyou),Siskiyou,Elementary School District,No,K-08,96086,"""Seiad Valley                  """,22,N/A,36.4,0,0,0,13.6,0,4.5,0,45.5,63.6,N/A,48,N/A,N/A,22,0,1,N/A,N/A,0,6,8.7,40.9,redacted,redacted,32361,0,0,48,1,14,17,19
Selma Unified (Fresno),Fresno,Unified School District,No,K-12,93662,"""Selma                         """,5914,26.9,0.3,3,0.4,0.1,92,0.1,0.5,0,3.7,91.9,23.49,9,93.3,93.1,21,18,247,185,180,43,16,4.7,19.4,23.83,40.98,21991,0,2,55,11,6,9,15
Semitropic Elementary (Kern),Kern,Elementary School District,No,K-08,93280,"""Wasco                         """,140,53.6,0,0,2.1,0,97.1,0,0,0,0.7,61.4,22.86,3,N/A,N/A,14.7,0,10,183,180,0,12,3.3,3.5,10.75,30.11,30396,0,0,58,8,12,11,11
Sequoia Union Elementary (Tulare),Tulare,Elementary School District,No,K-08,93244,"""Lemon Cove                    """,388,9,0,1.3,0,0,39.4,0,2.6,0.5,56.2,48.2,2.58,37,N/A,N/A,16.2,0,19,185,180,2,12,7.7,9.1,31.8,45.19,22827,0,1,41,21,15,6,12
Sequoia Union High (San Mateo),San Mateo,High School District,No,09-12,94062,"""Redwood City                  """,9505,15,0.8,11.2,1.6,1.1,47.5,1.7,5.1,0.1,30.8,32.7,34.9,51,89.9,81.8,16.8,21,557,187,180,39,14,3.4,21,48.16,66.23,31271,0,2,53,15,7,13,9
Shaffer Union Elementary (Lassen),Lassen,Elementary School District,No,K-08,96117,"""Litchfield                    """,246,2.8,2.4,0.4,1.6,0,21.1,0,6.1,0,68.3,61,1.22,33,N/A,N/A,20.5,3,7,185,180,5,12,8,26.7,26.17,33.56,15991,0,0,43,4,7,16,29
Shandon Joint Unified (San Luis Obispo),San Luis Obispo,Unified School District,No,K-12,93461,"""Shandon                       """,268,39.9,0,0,1.1,0,87.3,0,0,1.5,10.2,65.7,18.28,12,86.4,89.5,14.9,2,15,184,180,3,14,2.7,27.9,22.69,33.05,27406,0,5,50,14,6,10,11
Shasta County Office of Education (Shasta),Shasta,County Office of Education (COE),No,K-12,96001,"""Redding                       """,849,0.7,2.5,1.1,1.3,0,16.3,0,10.2,1.9,66.8,58.9,1.06,34,85.6,84.1,16.7,5,44,184,180,8,12,3,14.2,5.33,15.58,N/A,0,9,10,28,18,26,8
Shasta Union Elementary (Shasta),Shasta,Elementary School District,No,K-08,96087,"""Shasta                        """,100,2,4,2,0,0,5,0,10,0,79,62,2,23,N/A,N/A,17.9,1,5,184,180,1,11,0,2.8,25.45,47.27,18604,0,0,56,8,9,13,14
