GeoId|Geography|LEAID|Year|Iteration|DP02_59est|DP02_59moe|DP02_60est|DP02_60moe|DP02_60pct|DP02_60pctmoe|DP02_61est|DP02_61moe|DP02_61pct|DP02_61pctmoe|DP02_62est|DP02_62moe|DP02_62pct|DP02_62pctmoe|DP02_63est|DP02_63moe|DP02_63pct|DP02_63pctmoe|DP02_64est|DP02_64moe|DP02_64pct|DP02_64pctmoe|DP02_65est|DP02_65moe|DP02_65pct|DP02_65pctmoe|DP02_66est|DP02_66moe|DP02_66pct|DP02_66pctmoe|DP02_67est|DP02_67moe|DP02_67pct|DP02_67pctmoe|DP02_68est|DP02_68moe|DP02_68pct|DP02_68pctmoe
9600000US0607230|Campbell Union High School District, CA|0607230|2019-2023|001|164485|2798|6348|946|3.9|0.6|5209|635|3.2|0.4|21697|1461|13.2|0.8|24290|1380|14.8|0.8|11932|992|7.3|0.6|51565|1671|31.3|0.9|43444|1656|26.4|0.9|152928|2759|93.0|0.7|95009|2413|57.8|1.2
9500000US0607260|Camptonville Elementary School District, CA|0607260|2019-2023|001|498|133|16|26|3.2|5.0|39|30|7.8|5.8|195|69|39.2|9.1|104|47|20.9|7.3|53|36|10.6|6.5|57|36|11.4|7.0|34|29|6.8|5.0|443|125|89.0|7.8|91|48|18.3|8.2
9500000US0607350|Canyon Elementary School District, CA|0607350|2019-2023|001|175|129|15|18|8.6|11.4|0|14|0.0|21.4|24|33|13.7|12.0|15|18|8.6|13.2|1|2|0.6|1.2|76|62|43.4|12.5|44|35|25.1|7.7|160|124|91.4|11.4|120|92|68.6|9.9
9500000US0607410|Capay Joint Union Elementary School District, CA|0607410|2019-2023|001|1135|296|31|36|2.7|2.8|36|24|3.2|1.9|405|158|35.7|10.7|261|82|23.0|6.0|81|35|7.1|3.4|152|75|13.4|5.9|169|132|14.9|9.9|1068|270|94.1|3.3|321|155|28.3|9.9
9700000US0607440|Capistrano Unified School District, CA|0607440|2019-2023|001|254767|2527|7192|883|2.8|0.3|5168|651|2.0|0.3|32352|1906|12.7|0.7|47313|2064|18.6|0.8|21242|1405|8.3|0.5|85610|2484|33.6|0.9|55890|2084|21.9|0.8|242407|2628|95.1|0.4|141500|2889|55.5|1.1
9500000US0607470|Cardiff Elementary School District, CA|0607470|2019-2023|001|8889|697|666|644|7.5|6.9|84|55|0.9|0.6|510|185|5.7|2.0|1074|305|12.1|3.6|500|173|5.6|1.9|3356|477|37.8|5.2|2699|408|30.4|5.1|8139|578|91.6|7.0|6055|492|68.1|6.0
9700000US0607500|Carlsbad Unified School District, CA|0607500|2019-2023|001|55478|1545|1409|459|2.5|0.8|893|244|1.6|0.4|6059|823|10.9|1.5|10635|991|19.2|1.7|4202|599|7.6|1.0|19607|1232|35.3|2.0|12673|1003|22.8|1.8|53176|1478|95.9|1.0|32280|1407|58.2|2.2
9700000US0607530|Carmel Unified School District, CA|0607530|2019-2023|001|17904|1000|376|244|2.1|1.3|460|203|2.6|1.1|1531|366|8.6|1.9|2709|466|15.1|2.5|1579|345|8.8|1.8|6171|638|34.5|3.1|5078|553|28.4|3.2|17068|862|95.3|1.6|11249|728|62.8|3.6
9700000US0607560|Carpinteria Unified School District, CA|0607560|2019-2023|001|13494|710|1037|277|7.7|1.9|624|239|4.6|1.8|1745|345|12.9|2.3|2955|500|21.9|3.6|638|179|4.7|1.3|3743|482|27.7|3.4|2752|366|20.4|2.7|11833|649|87.7|2.1|6495|599|48.1|4.2
9600000US0699002|Caruthers Unified School District (9-12), CA|0699002|2019-2023|001|1712|292|416|111|24.3|5.2|322|155|18.8|7.5|415|112|24.2|5.7|276|95|16.1|4.7|82|36|4.8|2.1|155|45|9.1|3.0|46|31|2.7|1.7|974|173|56.9|7.1|201|60|11.7|3.5
9700000US0600067|Caruthers Unified School District, CA|0600067|2019-2023|001|2758|591|541|148|19.6|5.6|205|121|7.4|3.6|778|355|28.2|8.3|626|190|22.7|5.2|160|73|5.8|3.1|308|134|11.2|5.2|140|79|5.1|2.8|2012|489|73.0|5.6|448|156|16.2|6.0
9500000US0607680|Cascade Union Elementary School District, CA|0607680|2019-2023|001|11734|813|525|198|4.5|1.6|1005|278|8.6|2.2|3824|518|32.6|3.6|3644|415|31.1|3.4|1039|257|8.9|2.0|1277|277|10.9|2.4|420|152|3.6|1.2|10204|704|87.0|2.7|1697|308|14.5|2.5
9500000US0607740|Castaic Union School District, CA|0607740|2019-2023|001|18953|773|1016|267|5.4|1.3|1964|255|10.4|1.4|3955|481|20.9|2.3|4117|441|21.7|2.2|1685|233|8.9|1.2|4515|513|23.8|2.5|1701|290|9.0|1.5|15973|733|84.3|1.5|6216|630|32.8|3.0
9500000US0607770|Castle Rock Union Elementary School District, CA|0607770|2019-2023|001|261|108|3|5|1.1|1.8|5|8|1.9|3.2|82|60|31.4|16.8|69|35|26.4|8.4|42|26|16.1|9.3|37|35|14.2|9.9|23|20|8.8|6.7|253|109|96.9|3.8|60|48|23.0|13.1
9700000US0607800|Castro Valley Unified School District, CA|0607800|2019-2023|001|38476|1543|2044|528|5.3|1.4|1289|300|3.4|0.8|5905|669|15.3|1.6|6984|804|18.2|2.0|4195|581|10.9|1.4|10726|884|27.9|2.0|7333|729|19.1|1.7|35143|1589|91.3|1.7|18059|1195|46.9|2.4
9500000US0607840|Cayucos Elementary School District, CA|0607840|2019-2023|001|2696|487|10|18|0.4|0.7|104|67|3.9|2.4|388|150|14.4|5.3|728|210|27.0|6.7|254|116|9.4|4.1|766|287|28.4|8.4|446|150|16.5|4.8|2582|473|95.8|2.4|1212|331|45.0|7.6
9700000US0607900|Center Joint Unified School District, CA|0607900|2019-2023|001|19826|1614|915|541|4.6|2.5|1748|766|8.8|3.6|5304|849|26.8|3.4|5115|564|25.8|3.3|2376|332|12.0|1.9|3406|634|17.2|2.9|962|267|4.9|1.4|17163|1126|86.6|4.3|4368|702|22.0|3.3
9600000US0607920|Centinela Valley Union High School District, CA|0607920|2019-2023|001|95208|1990|15314|1169|16.1|1.1|11011|1017|11.6|1.1|24295|1485|25.5|1.4|19261|1128|20.2|1.2|5994|587|6.3|0.6|13850|971|14.5|1.0|5483|554|5.8|0.6|68883|1939|72.4|1.5|19333|1094|20.3|1.0
9500000US0607950|Central Elementary School District, CA|0607950|2019-2023|001|30685|1717|1327|339|4.3|1.1|1124|299|3.7|0.9|7368|776|24.0|2.5|7785|1034|25.4|2.9|3696|629|12.0|1.9|5910|821|19.3|2.2|3475|502|11.3|1.6|28234|1721|92.0|1.6|9385|995|30.6|2.6
9700000US0607970|Central Unified School District, CA|0607970|2019-2023|001|51120|1755|4494|611|8.8|1.2|5134|822|10.0|1.6|12416|1111|24.3|1.9|12469|1179|24.4|2.0|4998|700|9.8|1.3|7828|758|15.3|1.5|3781|569|7.4|1.1|41492|1815|81.2|2.0|11609|939|22.7|1.9
9500000US0607980|Central Union Elementary School District, CA|0607980|2019-2023|001|4813|676|257|131|5.3|2.5|516|177|10.7|3.6|1377|353|28.6|5.4|1534|347|31.9|5.9|567|204|11.8|3.9|392|135|8.1|2.7|170|106|3.5|2.2|4040|606|83.9|4.2|562|172|11.7|3.5
9600000US0608010|Central Union High School District, CA|0608010|2019-2023|001|35949|1206|4621|651|12.9|1.8|4392|563|12.2|1.6|9462|883|26.3|2.3|8303|724|23.1|1.9|2986|498|8.3|1.4|4187|643|11.6|1.7|1998|401|5.6|1.1|26936|1409|74.9|2.5|6185|865|17.2|2.2
9500000US0608070|Centralia Elementary School District, CA|0608070|2019-2023|001|38058|1924|3260|544|8.6|1.4|2874|520|7.6|1.3|8368|786|22.0|1.8|8072|1058|21.2|2.1|2814|416|7.4|1.0|9268|873|24.4|2.1|3402|454|8.9|1.2|31924|1854|83.9|1.8|12670|968|33.3|2.4
9700000US0608130|Ceres Unified School District, CA|0608130|2019-2023|001|35645|1471|6509|664|18.3|1.8|3043|497|8.5|1.4|12285|1233|34.5|2.7|7309|589|20.5|1.6|2068|330|5.8|0.9|3186|441|8.9|1.2|1245|319|3.5|0.9|26093|1492|73.2|2.4|4431|535|12.4|1.5
9600000US0608160|Chaffey Joint Union High School District, CA|0608160|2019-2023|001|281343|3020|22612|1325|8.0|0.5|21761|1315|7.7|0.4|66794|2170|23.7|0.8|62497|1897|22.2|0.6|27124|1579|9.6|0.6|52416|2072|18.6|0.7|28139|1498|10.0|0.5|236970|2823|84.2|0.6|80555|2390|28.6|0.8
9700000US0608190|Charter Oak Unified School District, CA|0608190|2019-2023|001|27654|1330|1254|314|4.5|1.1|1434|294|5.2|1.1|6738|663|24.4|2.2|6264|690|22.7|2.2|2744|365|9.9|1.3|6324|685|22.9|2.0|2896|512|10.5|1.8|24966|1340|90.3|1.5|9220|869|33.3|2.4
9500000US0608250|Chatom Union Elementary School District, CA|0608250|2019-2023|001|2563|626|314|182|12.3|6.9|399|131|15.6|5.3|730|281|28.5|8.6|532|221|20.8|6.8|82|70|3.2|2.7|324|164|12.6|4.6|182|136|7.1|4.7|1850|564|72.2|8.6|506|270|19.7|7.9
9700000US0600116|Chawanakee Unified School District, CA|0600116|2019-2023|001|4244|583|125|94|2.9|2.1|331|172|7.8|3.6|804|190|18.9|4.5|1216|288|28.7|5.3|658|237|15.5|5.1|733|245|17.3|5.5|377|132|8.9|2.9|3788|493|89.3|4.2|1110|312|26.2|6.7
9500000US0608340|Chicago Park Elementary School District, CA|0608340|2019-2023|001|775|176|5|8|0.6|1.0|17|16|2.2|2.0|128|60|16.5|6.7|234|88|30.2|8.6|123|55|15.9|5.6|197|71|25.4|7.1|71|38|9.2|4.8|753|171|97.2|2.2|268|82|34.6|8.1
9700000US0608370|Chico Unified School District, CA|0608370|2019-2023|001|73412|1166|1984|402|2.7|0.5|2999|575|4.1|0.8|11723|812|16.0|1.0|17732|1096|24.2|1.4|7983|779|10.9|1.0|19602|989|26.7|1.5|11389|873|15.5|1.1|68429|1156|93.2|0.9|30991|1071|42.2|1.5
9700000US0608460|Chino Valley Unified School District, CA|0608460|2019-2023|001|130875|1881|7687|749|5.9|0.6|8196|796|6.3|0.6|27387|1707|20.9|1.2|28869|1738|22.1|1.2|11813|934|9.0|0.7|31593|1649|24.1|1.3|15330|991|11.7|0.8|114992|2071|87.9|0.8|46923|1961|35.9|1.5
9500000US0608520|Chowchilla Elementary School District, CA|0608520|2019-2023|001|14900|760|1197|289|8.0|1.8|2214|349|14.9|2.4|3771|465|25.3|2.8|4065|537|27.3|3.1|1238|257|8.3|1.7|1898|321|12.7|2.2|517|163|3.5|1.1|11489|763|77.1|3.0|2415|370|16.2|2.5
9600000US0608550|Chowchilla Union High School District, CA|0608550|2019-2023|001|15913|763|1410|286|8.9|1.7|2315|360|14.5|2.3|4029|475|25.3|2.7|4308|541|27.1|3.0|1303|267|8.2|1.6|2005|324|12.6|2.1|543|166|3.4|1.0|12188|757|76.6|2.8|2548|378|16.0|2.4
9500000US0608580|Chualar Union Elementary School District, CA|0608580|2019-2023|001|1045|253|337|110|32.2|7.4|147|72|14.1|6.0|196|83|18.8|6.5|166|77|15.9|5.9|89|40|8.5|3.5|85|52|8.1|4.7|25|26|2.4|2.3|561|167|53.7|8.4|110|70|10.5|6.1
9500000US0608610|Chula Vista Elementary School District, CA|0608610|2019-2023|001|212786|2690|14091|1110|6.6|0.5|16240|1167|7.6|0.5|45184|2262|21.2|1.0|48236|1742|22.7|0.8|21139|1279|9.9|0.6|46031|1938|21.6|0.9|21865|1499|10.3|0.7|182455|2778|85.7|0.8|67896|2569|31.9|1.1
9500000US0608640|Cienega Union Elementary School District, CA|0608640|2019-2023|001|116|45|0|14|0.0|29.8|2|4|1.7|3.4|25|24|21.6|18.4|28|17|24.1|15.0|10|11|8.6|9.6|19|14|16.4|10.7|32|28|27.6|19.4|114|45|98.3|3.4|51|33|44.0|19.8
9500000US0608700|Cinnabar Elementary School District, CA|0608700|2019-2023|001|1664|246|121|88|7.3|5.1|61|70|3.7|4.0|420|134|25.2|6.6|258|77|15.5|4.2|136|68|8.2|4.4|337|98|20.3|5.3|331|106|19.9|5.4|1482|221|89.1|5.2|668|159|40.1|7.4
9700000US0608760|Claremont Unified School District, CA|0608760|2019-2023|001|29073|882|959|260|3.3|0.9|759|182|2.6|0.6|4081|550|14.0|1.9|5199|625|17.9|2.0|1941|341|6.7|1.2|7887|777|27.1|2.5|8247|612|28.4|2.1|27355|856|94.1|1.0|16134|808|55.5|2.5
9500000US0608850|Clay Joint Elementary School District, CA|0608850|2019-2023|001|195|72|12|17|6.2|7.3|19|21|9.7|9.4|33|20|16.9|9.5|67|28|34.4|10.8|37|24|19.0|9.0|12|10|6.2|4.8|15|12|7.7|5.4|164|58|84.1|11.1|27|16|13.8|6.6
