dist_name,performance_tier,final_z_standardized,plus_minus_spots,component_rank_spread,assist_status
Palermo Union Elementary (Butte),Moderate Overperformer,1.0526718272956077,71.0,144.0,Differentiated
Lawndale Elementary (Los Angeles),Moderate Overperformer,1.0512882238401553,42.5,43.0,Differentiated
Capistrano Unified (Orange),Moderate Overperformer,1.0450021550120614,45.5,75.0,Differentiated
Franklin Elementary (Sutter),Moderate Overperformer,1.0419390805957718,82.5,201.0,General
Tulare Joint Union High (Tulare),Mixed/Volatile Results,1.0380180757795525,138.0,441.0,Differentiated
Piedmont City Unified (Alameda),Moderate Overperformer,1.0266111009646908,81.0,232.0,General
Rancho Santa Fe Elementary (San Diego),Moderate Overperformer,1.0226944907593465,77.5,199.0,General
Whittier City (Los Angeles),Moderate Overperformer,1.0220459319296908,67.5,133.0,Differentiated
Newport-Mesa Unified (Orange),Moderate Overperformer,1.0200564935411294,56.0,89.0,Differentiated
Hillsborough City Elementary (San Mateo),Moderate Overperformer,1.0179901575157837,98.0,289.0,General
Thermalito Union Elementary (Butte),Moderate Overperformer,1.0055555232970999,87.5,185.0,Differentiated
San Luis Coastal Unified (San Luis Obispo),Moderate Overperformer,1.0025691757989768,70.0,143.0,General
Saratoga Union Elementary (Santa Clara),Moderate Overperformer,0.9916981543562442,83.0,170.0,General
Paramount Unified (Los Angeles),Moderate Overperformer,0.9779905389241513,59.0,116.0,General
Berkeley Unified (Alameda),Moderate Overperformer,0.9714661816326472,65.5,127.0,Differentiated
Enterprise Elementary (Shasta),Moderate Overperformer,0.9638586745158878,70.0,156.0,Differentiated
Palo Verde Union Elementary (Tulare),Moderate Overperformer,0.961618606128181,45.0,51.0,General
Brea-Olinda Unified (Orange),Moderate Overperformer,0.9585850855178846,54.5,83.0,Differentiated
Wheatland (Yuba),Moderate Overperformer,0.9583819175987816,50.0,68.0,Differentiated
Atwater Elementary (Merced),Moderate Overperformer,0.9577439641787456,44.0,42.0,General
Walnut Valley Unified (Los Angeles),Moderate Overperformer,0.9575754747655912,100.0,280.0,Differentiated
Bella Vista Elementary (Shasta),Moderate Overperformer,0.9535012372784777,42.5,43.0,General
Galt Joint Union High (Sacramento),Moderate Overperformer,0.9439300584492469,156.0,377.0,General
Happy Valley Union Elementary (Shasta),Moderate Overperformer,0.9410789049369878,80.0,223.0,Differentiated
Santee (San Diego),Moderate Overperformer,0.9307991574252988,66.5,130.0,Differentiated
Buena Park Elementary (Orange),Moderate Overperformer,0.9226946342133575,75.0,189.0,Differentiated
Sanger Unified (Fresno),Moderate Overperformer,0.9193178814262234,80.5,174.0,Differentiated
Seeley Union Elementary (Imperial),Moderate Overperformer,0.9154752964155685,84.5,176.0,Differentiated
Red Bluff Joint Union High (Tehama),Moderate Overperformer,0.9130798788184068,115.0,316.0,Differentiated
Corona-Norco Unified (Riverside),Moderate Overperformer,0.9074275272689631,55.5,78.0,Differentiated
Sulphur Springs Union (Los Angeles),Moderate Overperformer,0.9020132597976843,47.0,51.0,General
Alview-Dairyland Union Elementary (Madera),Moderate Overperformer,0.9001278993552442,79.0,156.0,General
Lindsay Unified (Tulare),Moderate Overperformer,0.8858849361605113,64.5,113.0,Differentiated
Orinda Union (Contra Costa),Moderate Overperformer,0.8758771582474305,69.5,128.0,General
Hacienda la Puente Unified (Los Angeles),Moderate Overperformer,0.8690999688063161,74.5,162.0,Differentiated
Fremont Union High (Santa Clara),Moderate Overperformer,0.8613781065505053,62.0,95.0,Differentiated
Rincon Valley Union Elementary (Sonoma),Moderate Overperformer,0.8610341909061948,99.0,248.0,General
South Fork Union (Kern),Moderate Overperformer,0.8484542121708674,66.0,109.0,Differentiated
Claremont Unified (Los Angeles),Moderate Overperformer,0.8462441178128609,53.5,62.0,Differentiated
Montebello Unified (Los Angeles),Moderate Overperformer,0.8364330192518094,70.0,115.0,Differentiated
Sundale Union Elementary (Tulare),Moderate Overperformer,0.8349161093471467,58.0,80.0,General
Belmont-Redwood Shores Elementary (San Mateo),Moderate Overperformer,0.834821213256838,81.5,179.0,Differentiated
Loma Prieta Joint Union Elementary (Santa Clara),Moderate Overperformer,0.8342205711040306,76.0,172.0,Differentiated
Shasta Union High (Shasta),Moderate Overperformer,0.8292062035016236,104.5,222.0,Differentiated
Alta Loma Elementary (San Bernardino),Moderate Overperformer,0.8208947096102949,56.5,79.0,General
Long Beach Unified (Los Angeles),Moderate Overperformer,0.81811322971616,52.0,59.0,Differentiated
Mountain View-Los Altos Union High (Santa Clara),Moderate Overperformer,0.8145196348346991,86.5,204.0,Differentiated
Lennox (Los Angeles),Moderate Overperformer,0.8042811849912261,53.0,59.0,General
Woodville Union Elementary (Tulare),Moderate Overperformer,0.8024092726212416,75.5,181.0,Differentiated
Elk Grove Unified (Sacramento),Moderate Overperformer,0.7901951457972259,50.0,42.0,Differentiated
Glendale Unified (Los Angeles),Moderate Overperformer,0.7848629709127788,88.0,213.0,Differentiated
Rowland Unified (Los Angeles),Moderate Overperformer,0.7754208048481926,57.0,77.0,Differentiated
San Diego Unified (San Diego),Moderate Overperformer,0.7750423765172593,51.0,47.0,Differentiated
Arcadia Unified (Los Angeles),Moderate Overperformer,0.7749870251013269,83.0,185.0,Differentiated
Lemoore Union High (Kings),Mixed/Volatile Results,0.7738843058290298,208.0,505.0,Differentiated
Brawley Elementary (Imperial),Moderate Overperformer,0.7731373237583211,81.0,177.0,Differentiated
Fullerton Joint Union High (Orange),Moderate Overperformer,0.7696914059316146,87.5,176.0,Differentiated
Etiwanda Elementary (San Bernardino),Moderate Overperformer,0.7649146008423968,54.5,61.0,Differentiated
La Mesa-Spring Valley (San Diego),Moderate Overperformer,0.7642520496490742,57.0,77.0,Differentiated
Fullerton Elementary (Orange),Moderate Overperformer,0.7575343008821193,68.5,138.0,Differentiated
Washington Colony Elementary (Fresno),Moderate Overperformer,0.7549291099414563,70.0,131.0,Differentiated
Los Molinos Unified (Tehama),Moderate Overperformer,0.75369730167163,111.5,320.0,General
McFarland Unified (Kern),Moderate Overperformer,0.7474327656611696,57.5,71.0,Differentiated
Silver Valley Unified (San Bernardino),Moderate Overperformer,0.7467285223335155,52.5,52.0,General
Exeter Unified (Tulare),Moderate Overperformer,0.7389045856079524,52.0,57.0,Differentiated
Covina-Valley Unified (Los Angeles),Moderate Overperformer,0.7363759983860534,57.5,71.0,Differentiated
Fruitvale Elementary (Kern),Moderate Overperformer,0.7270065332055758,64.5,108.0,General
Riverdale Joint Unified (Fresno),Moderate Overperformer,0.7268370457217788,76.0,153.0,Differentiated
Terra Bella Union Elementary (Tulare),Moderate Overperformer,0.7217854981059878,101.0,229.0,General
Mendocino Unified (Mendocino),Moderate Overperformer,0.7129240129685875,77.5,153.0,General
Upland Unified (San Bernardino),Moderate Overperformer,0.7097952124467889,60.0,81.0,Differentiated
Cardiff Elementary (San Diego),Moderate Overperformer,0.6795215627505651,51.5,48.0,General
Menlo Park City Elementary (San Mateo),Moderate Overperformer,0.6787946463285868,109.5,268.0,General
Laguna Beach Unified (Orange),Moderate Overperformer,0.6750188161651942,101.0,244.0,General
North County Joint Union Elementary (San Benito),Moderate Overperformer,0.6738126952090643,97.0,203.0,General
Redding Elementary (Shasta),Moderate Overperformer,0.66902783383669,102.0,249.0,Differentiated
Baldwin Park Unified (Los Angeles),Moderate Overperformer,0.6666440522485744,75.0,114.0,Differentiated
Moreland (Santa Clara),Moderate Overperformer,0.6657404635578444,64.0,95.0,General
Northern Humboldt Union High (Humboldt),Moderate Overperformer,0.6566337720033689,122.5,294.0,Differentiated
Wheatland Union High (Yuba),Mixed/Volatile Results,0.6514752941489901,206.5,563.0,Differentiated
Buellton Union Elementary (Santa Barbara),Moderate Overperformer,0.6497609107166138,84.5,163.0,Differentiated
Irvine Unified (Orange),Moderate Overperformer,0.6465636286268426,105.0,261.0,Differentiated
Planada Elementary (Merced),Moderate Overperformer,0.6386378361949624,107.0,252.0,Differentiated
Castro Valley Unified (Alameda),Moderate Overperformer,0.6336267967199191,72.5,121.0,Differentiated
Carlsbad Unified (San Diego),Moderate Overperformer,0.6321293737736985,70.0,140.0,Differentiated
Ross Elementary (Marin),Moderate Overperformer,0.6267125201460932,76.0,129.0,General
Selma Unified (Fresno),Moderate Overperformer,0.6145577567896748,89.0,188.0,Differentiated
Le Grand Union Elementary (Merced),Moderate Overperformer,0.6062345100173852,91.5,171.0,General
South Bay Union Elementary (Humboldt),Moderate Overperformer,0.6054700102472353,110.5,307.0,Differentiated
Fowler Unified (Fresno),Moderate Overperformer,0.6050838015250016,75.5,133.0,General
Redwood City Elementary (San Mateo),Moderate Overperformer,0.6050134694892974,45.0,17.0,Differentiated
Fortuna Elementary (Humboldt),Moderate Overperformer,0.5951384309713165,99.0,250.0,Differentiated
Kit Carson Union Elementary (Kings),Moderate Overperformer,0.5934409111443889,126.0,341.0,Differentiated
Santa Monica-Malibu Unified (Los Angeles),Moderate Overperformer,0.5858342343164168,81.0,174.0,Differentiated
San Miguel Joint Union (San Luis Obispo),Moderate Overperformer,0.584766682171596,115.0,284.0,Differentiated
South Whittier Elementary (Los Angeles),Moderate Overperformer,0.5688042992818747,91.0,227.0,Differentiated
Fortuna Union High (Humboldt),Moderate Overperformer,0.566469583232994,111.5,271.0,Differentiated
Charter Oak Unified (Los Angeles),Moderate Overperformer,0.5646564582075775,66.0,116.0,Differentiated
La Habra City Elementary (Orange),Moderate Overperformer,0.5605595107894259,71.0,114.0,Differentiated
Torrance Unified (Los Angeles),Moderate Overperformer,0.5568791689755642,70.0,136.0,General
Meadows Union (Imperial),Moderate Overperformer,0.5563349679217618,71.5,125.0,Differentiated
Hanford Joint Union High (Kings),Mixed/Volatile Results,0.5534960792437191,199.5,512.0,Differentiated
Lynwood Unified (Los Angeles),Moderate Overperformer,0.5533354981313646,78.0,144.0,Differentiated
Calistoga Joint Unified (Napa),Moderate Overperformer,0.5528913126709043,72.0,111.0,Differentiated
Armona Union Elementary (Kings),Moderate Overperformer,0.5489034703901121,67.5,112.0,Differentiated
Le Grand Union High (Merced),Mixed/Volatile Results,0.5353629238275033,175.5,436.0,General
Lemon Grove (San Diego),Moderate Overperformer,0.5315400939025088,66.0,107.0,Differentiated
