dist_name,performance_tier,final_z_standardized,plus_minus_spots,component_rank_spread,assist_status
Santa Rosa Elementary (Sonoma),Moderate Underperformer,-1.099315686432464,83.0,174.0,Differentiated
John Swett Unified (Contra Costa),Moderate Underperformer,-1.1014329335617448,83.0,243.0,Differentiated
Sutter Union High (Sutter),Moderate Underperformer,-1.1045174393395374,101.0,270.0,General
Windsor Unified (Sonoma),Moderate Underperformer,-1.111892736001798,70.5,162.0,Differentiated
Arcohe Union Elementary (Sacramento),Moderate Underperformer,-1.112890527913653,108.5,291.0,Differentiated
Lakeside Union (Kern),Moderate Underperformer,-1.115230526371719,75.5,143.0,Differentiated
San Lorenzo Valley Unified (Santa Cruz),Moderate Underperformer,-1.1193588626762991,53.5,83.0,Differentiated
Denair Unified (Stanislaus),Moderate Underperformer,-1.1205748664372217,59.5,115.0,Differentiated
Lassen Union High (Lassen),Moderate Underperformer,-1.1219020871466403,126.0,316.0,Differentiated
Cucamonga Elementary (San Bernardino),Moderate Underperformer,-1.1220987113613945,36.5,20.0,Differentiated
Newark Unified (Alameda),Moderate Underperformer,-1.1226387715193638,38.5,33.0,Differentiated
Fort Bragg Unified (Mendocino),Moderate Underperformer,-1.1269829243441507,44.5,58.0,Differentiated
Soquel Union Elementary (Santa Cruz),Moderate Underperformer,-1.1387637685970207,50.5,73.0,General
Willows Unified (Glenn),Moderate Underperformer,-1.142060354237225,85.5,213.0,General
Dixon Unified (Solano),Moderate Underperformer,-1.1495510492671672,66.5,115.0,Differentiated
Liberty Union High (Contra Costa),Moderate Underperformer,-1.1813778629387846,132.5,360.0,Differentiated
Vacaville Unified (Solano),Moderate Underperformer,-1.1845783904071827,43.0,50.0,Differentiated
Mother Lode Union Elementary (El Dorado),Moderate Underperformer,-1.1865821955872624,43.5,53.0,Differentiated
Hueneme Elementary (Ventura),Moderate Underperformer,-1.1892730975698105,35.0,23.0,Differentiated
San Lorenzo Unified (Alameda),Moderate Underperformer,-1.209923286449511,55.0,106.0,Differentiated
Mt. Diablo Unified (Contra Costa),Moderate Underperformer,-1.2135549111297177,47.5,85.0,Differentiated
Rim of the World Unified (San Bernardino),Moderate Underperformer,-1.2255866797128792,36.5,36.0,Differentiated
Southern Kern Unified (Kern),Moderate Underperformer,-1.246161834989673,61.0,123.0,Differentiated
Acton-Agua Dulce Unified (Los Angeles),Moderate Underperformer,-1.2474110753382386,57.5,111.0,Differentiated
Brittan Elementary (Sutter),Moderate Underperformer,-1.259925975589451,86.5,245.0,General
East Nicolaus Joint Union High (Sutter),Moderate Underperformer,-1.26113632997641,117.5,307.0,General
Gilroy Unified (Santa Clara),Moderate Underperformer,-1.2613917358304556,69.0,164.0,Differentiated
Round Valley Unified (Mendocino),Moderate Underperformer,-1.267942588023921,80.5,239.0,Differentiated
Eastern Sierra Unified (Mono),Moderate Underperformer,-1.2700741150818844,81.5,193.0,General
Orland Joint Unified (Glenn),Moderate Underperformer,-1.2704058990146032,72.5,191.0,Differentiated
River Delta Joint Unified (Sacramento),Moderate Underperformer,-1.2766181727696797,37.5,44.0,Differentiated
Napa Valley Unified (Napa),Moderate Underperformer,-1.28173385361667,42.5,74.0,Differentiated
Colfax Elementary (Placer),Moderate Underperformer,-1.2890159803235397,80.0,224.0,General
Anderson Valley Unified (Mendocino),Moderate Underperformer,-1.290356739754027,39.5,52.0,Differentiated
Bellevue Union (Sonoma),Moderate Underperformer,-1.3007213568879552,57.5,95.0,Differentiated
West Contra Costa Unified (Contra Costa),Moderate Underperformer,-1.3118530466410576,40.5,56.0,Differentiated
Mount Pleasant Elementary (Santa Clara),Moderate Underperformer,-1.332225774549652,44.0,79.0,Differentiated
Sunnyside Union Elementary (Tulare),Moderate Underperformer,-1.347190841314986,35.5,41.0,General
Washington Union Elementary (Monterey),Moderate Underperformer,-1.3472908920280362,45.0,86.0,General
Calaveras Unified (Calaveras),Moderate Underperformer,-1.348495503867355,60.5,154.0,Differentiated
Gerber Union Elementary (Tehama),Moderate Underperformer,-1.3537154084906802,84.5,222.0,Differentiated
Borrego Springs Unified (San Diego),Moderate Underperformer,-1.371784597192955,67.5,191.0,Differentiated
Riverbank Unified (Stanislaus),Moderate Underperformer,-1.3738161798789403,42.0,90.0,Differentiated
Jamul-Dulzura Union Elementary (San Diego),Moderate Underperformer,-1.37585330467368,59.5,136.0,General
Mesa Union Elementary (Ventura),Moderate Underperformer,-1.3799377294999873,40.5,67.0,General
Templeton Unified (San Luis Obispo),Moderate Underperformer,-1.38218896106956,61.0,168.0,Differentiated
Winters Joint Unified (Yolo),Moderate Underperformer,-1.3837744030163481,31.0,29.0,Differentiated
Ojai Unified (Ventura),Moderate Underperformer,-1.3892977780837394,39.0,66.0,Differentiated
Desert Sands Unified (Riverside),Moderate Underperformer,-1.3896791549890128,32.5,42.0,Differentiated
North Monterey County Unified (Monterey),Moderate Underperformer,-1.3936708114300778,28.0,20.0,Differentiated
Pittsburg Unified (Contra Costa),Moderate Underperformer,-1.4055455816913598,37.5,64.0,Differentiated
Lucerne Valley Unified (San Bernardino),Moderate Underperformer,-1.4056758267867226,41.5,85.0,Differentiated
Jefferson Union High (San Mateo),Moderate Underperformer,-1.4244195823715582,78.0,212.0,General
Apple Valley Unified (San Bernardino),Moderate Underperformer,-1.4265299956147102,58.5,174.0,Differentiated
Knightsen Elementary (Contra Costa),Moderate Underperformer,-1.440197907576331,27.0,30.0,General
Palmdale Elementary (Los Angeles),Moderate Underperformer,-1.4418577222320694,46.0,97.0,Differentiated
Hesperia Unified (San Bernardino),Moderate Underperformer,-1.445486753307286,54.0,139.0,Differentiated
Tehachapi Unified (Kern),Moderate Underperformer,-1.4558893914563769,42.0,74.0,Differentiated
Mojave Unified (Kern),Moderate Underperformer,-1.473495818001325,58.5,136.0,Differentiated
Tamalpais Union High (Marin),Moderate Underperformer,-1.4846909330380056,55.5,115.0,Differentiated
Butte Valley Unified (Siskiyou),Moderate Underperformer,-1.4862784103517686,47.0,81.0,General
Pleasant View Elementary (Tulare),Significant Underperformer,-1.5008338631151357,64.5,187.0,Differentiated
Hayward Unified (Alameda),Significant Underperformer,-1.5101152866089598,35.0,75.0,Differentiated
Antelope Valley Union High (Los Angeles),Significant Underperformer,-1.5384457738334547,48.0,108.0,Differentiated
Santa Rita Union Elementary (Monterey),Significant Underperformer,-1.5499230548365475,37.0,59.0,General
Lakeport Unified (Lake),Significant Underperformer,-1.60933948499042,52.0,139.0,Differentiated
Amador County Unified (Amador),Significant Underperformer,-1.628556136762111,22.5,21.0,Differentiated
Springville Union Elementary (Tulare),Significant Underperformer,-1.6468077298211932,25.0,39.0,General
Konocti Unified (Lake),Significant Underperformer,-1.6530993421288769,32.0,68.0,Differentiated
Orchard Elementary (Santa Clara),Significant Underperformer,-1.6582108065582635,36.0,98.0,Differentiated
Lancaster Elementary (Los Angeles),Significant Underperformer,-1.6761955574105167,37.5,81.0,Differentiated
Mt. Shasta Union Elementary (Siskiyou),Significant Underperformer,-1.67872825687313,56.5,205.0,General
Valley Center-Pauma Unified (San Diego),Significant Underperformer,-1.7031023534221195,35.0,89.0,Differentiated
Vallejo City Unified (Solano),Significant Underperformer,-1.7073379406046933,43.0,123.0,Differentiated
Siskiyou Union High (Siskiyou),Significant Underperformer,-1.7077623695778659,54.5,217.0,General
Salinas City Elementary (Monterey),Significant Underperformer,-1.711127463300519,43.5,153.0,General
Ravenswood City Elementary (San Mateo),Significant Underperformer,-1.7318726987782733,39.5,104.0,Differentiated
Pajaro Valley Unified (Santa Cruz),Significant Underperformer,-1.7364081167623233,35.5,97.0,Differentiated
Twin Hills Union Elementary (Sonoma),Significant Underperformer,-1.7703168001270435,24.5,39.0,General
Kelseyville Unified (Lake),Significant Underperformer,-1.772901700048531,26.0,45.0,Differentiated
Cabrillo Unified (San Mateo),Significant Underperformer,-1.8077172289426209,24.5,39.0,Differentiated
Barstow Unified (San Bernardino),Significant Underperformer,-1.8164894778520493,41.5,163.0,Differentiated
Luther Burbank (Santa Clara),Significant Underperformer,-1.81856955078486,35.0,119.0,Differentiated
Adelanto Elementary (San Bernardino),Significant Underperformer,-1.8310077807337932,32.0,74.0,Differentiated
Antioch Unified (Contra Costa),Significant Underperformer,-1.8368834952761763,19.5,28.0,Differentiated
Emery Unified (Alameda),Significant Underperformer,-1.8460403589828083,25.5,67.0,General
Dehesa Elementary (San Diego),Significant Underperformer,-1.8833866805942832,18.5,35.0,General
Eastside Union Elementary (Los Angeles),Significant Underperformer,-1.8868948232791154,26.5,62.0,Differentiated
Morgan Hill Unified (Santa Clara),Significant Underperformer,-1.9442077130410327,18.0,36.0,Differentiated
Wilsona Elementary (Los Angeles),Significant Underperformer,-1.9499181511031174,22.0,54.0,Differentiated
Oakley Union Elementary (Contra Costa),Significant Underperformer,-1.980157513010946,13.0,13.0,Differentiated
Keppel Union Elementary (Los Angeles),Significant Underperformer,-2.0111381560187263,21.5,64.0,Differentiated
Mountain Empire Unified (San Diego),Significant Underperformer,-2.0119720779540757,15.0,28.0,Differentiated
Alta Vista Elementary (Tulare),Significant Underperformer,-2.0168780662133963,16.5,35.0,Differentiated
Upper Lake Unified (Lake),Significant Underperformer,-2.021026182297869,23.0,82.0,Differentiated
Willits Unified (Mendocino),Significant Underperformer,-2.0553460884501984,19.0,52.0,Differentiated
Cloverdale Unified (Sonoma),Significant Underperformer,-2.0719226530116424,13.0,22.0,General
Muroc Joint Unified (Kern),Significant Underperformer,-2.1604131800696,9.5,6.0,Differentiated
Sonoma Valley Unified (Sonoma),Significant Underperformer,-2.1671208125560524,9.5,19.0,Differentiated
Natomas Unified (Sacramento),Significant Underperformer,-2.205017097421692,10.5,18.0,Differentiated
Spreckels Union Elementary (Monterey),Significant Underperformer,-2.2291194188070924,7.0,12.0,General
Gold Oak Union Elementary (El Dorado),Significant Underperformer,-2.294465635381647,6.0,4.0,Differentiated
Campbell Union (Santa Clara),Significant Underperformer,-2.3395106185075973,5.0,0.0,General
